"position","displayName","route","nflId_def","eps_zone_coverage","zone_covers","accurate_targets","completions_allowed","PB","INT","T","FF","eps_closing","eps_ball_skills","eps_tackling","eps_zone_coverage_no_tackling"
"ILB","Josh Harvey-Clemons","ANGLE",2557880,1.55351874623531,12,2,2,0,0,1.5,0,-0.0398929572269777,-1.07286646195211,2.6662781654144,-1.11275941917909
"FS","Vonn Bell","ANGLE",2555530,1.32987641492667,10,3,3,0,0,1,0,1.41259503466378,-0.49788569947033,0.415167079733221,0.91470933519345
"LB","Tremaine Edmunds","ANGLE",2560713,1.28139270430225,30,5,4,0,0,2.5,0,0.282098957171601,-0.164279169033989,1.16357291616464,0.117819788137612
"MLB","Luke Kuechly","ANGLE",2533056,1.26434262120008,40,4,1,2,0,1,0,0.547861079871502,0.670726740442309,0.0457548008862713,1.21858782031381
"SS","Karl Joseph","ANGLE",2555342,1.22540801833496,3,1,0,0,0,0,0,0.327266130690926,0.898141887644035,0,1.22540801833496
"CB","Darqueze Dennard","ANGLE",2543474,1.20805398427113,5,1,1,0,0,2,0,0.151735655114593,-0.176635415404434,1.23295374456097,-0.0248997602898411
"CB","Morris Claiborne","ANGLE",2533059,1.09994803496542,1,1,0,0,0,0,0,0.439649418485526,0.660298616479898,0,1.09994803496542
"OLB","Kiko Alonso","ANGLE",2539935,1.07300514203916,34,2,1,0,0,2,0,-0.0456350724539861,-0.0324204535502081,1.15106066804335,-0.0780555260041942
"CB","Quincy Wilson","ANGLE",2557961,1.02304578698822,8,4,4,0,0,2,0,0.298884675745222,0.655907591835332,0.068253519407662,0.954792267580554
"ILB","Derrick Johnson","ANGLE",2506353,1.00953328842015,3,1,1,0,0,0.5,0,0.365202835870884,0.347627139091584,0.296703313457682,0.712829974962468
"SS","Reshad Jones","ANGLE",496739,0.97560514777046,12,1,0,1,0,0,0,-0.77144701484499,1.74705216261545,0,0.97560514777046
"SS","Morgan Burnett","ANGLE",496727,0.948313885083168,4,1,1,0,0,0,0,-0.374530948551332,1.3228448336345,0,0.948313885083168
"ILB","Nicholas Morrow","ANGLE",2559054,0.8925292390564,16,1,1,0,0,0,0,1.18349352305793,-1.29515575709516,1.00419147309363,-0.11166223403723
"OLB","Jatavis Brown","ANGLE",2556148,0.834807782246019,30,3,1,2,0,2,0,-0.0255913749565646,0.469083070852066,0.391316086350518,0.443491695895501
"ILB","Avery Williamson","ANGLE",2543597,0.785489147411742,43,3,2,0,0,3,0,0.237572407320521,0.135622945686571,0.41229379440465,0.373195353007092
"MLB","Manti Te'o","ANGLE",2539277,0.754743029276882,4,2,2,0,0,1.5,0,-0.489250098455531,0.888028742831719,0.355964384900694,0.398778644376188
"CB","Mike Hilton","ANGLE",2556559,0.746115476102258,5,1,1,0,0,1.5,0,0.0874399776861557,-0.185061664121526,0.843737162537628,-0.0976216864353703
"ILB","Anthony Walker","ANGLE",2558851,0.708638737498737,27,3,2,1,0,2,0,0.962176973787847,-0.216943021769396,-0.0365952145197142,0.745233952018451
"SS","Landon Collins","ANGLE",2552454,0.658842007146435,16,2,1,1,0,1,0,-0.312161929768093,0.899537183262869,0.0714667536516587,0.587375253494776
"OLB","Bud Dupree","ANGLE",2552289,0.634591865163631,5,1,1,0,0,1,0,0.133523496238887,0.180730292205783,0.320338076718961,0.31425378844467
"DB","Jordan Whitehead","ANGLE",2560930,0.620588944397075,7,1,1,0,0,2,0,0.275740890978216,-0.0331159556681359,0.377964009086995,0.24262493531008
"ILB","Terrance Smith","ANGLE",2556775,0.611143424863467,12,2,1,0,0,0,0,0.0909983128324068,0.433363555417247,0.0867815566138131,0.524361868249654
"LB","Nate Gerry","ANGLE",2558175,0.608360451183008,2,1,1,0,0,1,0,0.149436959292914,0.199389008116582,0.259534483773512,0.348825967409496
"ILB","Jon Bostic","ANGLE",2539978,0.606447803282577,17,1,0,0,0,0,0,0.00741485066593245,0.599032952616644,0,0.606447803282577
"CB","Jourdan Lewis","ANGLE",2557920,0.560100353526939,5,1,1,0,0,0,0,0.0157592588244096,0.266784215858484,0.277556878844045,0.282543474682894
"CB","Captain Munnerlyn","ANGLE",80668,0.548879924534237,6,0,0,0,0,0,0,0,0,0.548879924534237,0
"ILB","Cory Littleton","ANGLE",2556593,0.51839160424767,34,4,3,0,0,3,0,-0.0788428146807512,0.774979815317185,-0.177745396388764,0.696137000636434
"LB","Roquan Smith","ANGLE",2560877,0.512065290683251,37,5,4,1,0,4,0,0.790899502076655,-0.615077378414469,0.336243167021065,0.175822123662186
"FS","Adrian Amos","ANGLE",2552385,0.478654644815472,9,1,1,0,0,1,0,-0.956833581969978,0.19211325155492,1.24337497523053,-0.764720330415058
"OLB","Anthony Barr","ANGLE",2543459,0.469925043131348,28,1,1,0,0,1,0,0.338329822798934,-0.643255604634671,0.774850824967085,-0.304925781835737
"CB","Tavon Young","ANGLE",2555378,0.467670932937239,4,1,1,0,0,1,0,0.0904774553999821,0.112490825355168,0.264702652182089,0.20296828075515
"ILB","Brian Peters","ANGLE",2552730,0.462191023625683,6,2,2,0,0,1,0,0.0425613579602536,-0.0942621661094949,0.513891831774924,-0.0517008081492413
"ILB","Bryce Hager","ANGLE",2552307,0.45058112963536,2,1,0,1,0,0,0,0.0152769183102388,0.435304211325121,0,0.45058112963536
"SS","Jarrod Wilson","ANGLE",2556711,0.446521829544939,2,1,1,0,0,1,0,0.251263840535809,-0.286394742841229,0.481652731850359,-0.03513090230542
"ILB","Demario Davis","ANGLE",2533008,0.432682368197829,34,3,3,0,0,2.5,0,0.368987405014871,0.366001348164703,-0.302306384981745,0.734988753179574
"MLB","Eric Kendricks","ANGLE",2552312,0.424231669358071,14,1,1,0,0,1,0,0.197160723121838,0.00388962715271901,0.223181319083514,0.201050350274557
"OLB","Samson Ebukam","ANGLE",2558830,0.422339446673791,3,1,0,0,0,0,0,0.0310325663047562,0.391306880369035,0,0.422339446673791
"LB","Nicholas Grigsby","ANGLE",2556542,0.410564410768005,1,0,0,0,0,0,0,0.410564410768005,0,0,0.410564410768005
"MLB","Adarius Taylor","ANGLE",2550565,0.406366095086907,18,1,1,0,0,0,0,0.12583085336801,0.280535241718897,0,0.406366095086907
"CB","Eli Apple","ANGLE",2555277,0.379248541864735,2,1,1,0,0,1,0,0.237715693612816,0.0610378863918684,0.080494961860051,0.298753580004684
"FS","Tashaun Gipson","ANGLE",2532848,0.37302474852657,4,1,1,0,0,1,0,0.0231709257927178,0.250542009029025,0.0993118137048271,0.273712934821743
"S","Terrell Edmunds","ANGLE",2560712,0.341823350984656,8,0,0,0,0,0,0,0,0,0.341823350984656,0
"SS","Michael Thomas","ANGLE",2535687,0.327545028167265,5,2,2,0,0,1.5,0,0.196603515223528,-0.257050399099372,0.387991912043109,-0.060446883875844
"SS","Tony Jefferson","ANGLE",2540164,0.321362154405574,5,0,0,0,0,0.5,0,0,0,0.321362154405574,0
"ILB","Jayon Brown","ANGLE",2558005,0.312123001398436,16,1,0,1,0,0,0,0.302512033923046,0.049819599881193,-0.0402086324058029,0.352331633804239
"ILB","Denzel Perryman","ANGLE",2552310,0.298555901544992,11,2,2,0,0,1,0,0.110651751468427,0.150561413423964,0.0373427366526006,0.261213164892391
"OLB","Malcolm Smith","ANGLE",2499278,0.297631764685603,8,2,1,0,0,0,0,-0.162544957038417,0.235728176108579,0.224448545615441,0.073183219070162
"FS","Kendrick Lewis","ANGLE",494277,0.272515750451817,1,0,0,0,0,0,0,0.272515750451817,0,0,0.272515750451817
"FS","Lamarcus Joyner","ANGLE",2543492,0.266525237447928,5,1,1,0,0,1,0,0.114592136937764,-0.063625597660026,0.21555869817019,0.050966539277738
"ILB","Patrick Onwuasor","ANGLE",2556642,0.258010898713031,8,1,1,0,0,0,0,-0.211533668928547,0.240383460009892,0.229161107631686,0.028849791081345
"MLB","Elandon Roberts","ANGLE",2556119,0.256963725190337,12,1,1,0,0,1,0,0.143218781230776,0.055166842454374,0.0585781015051868,0.19838562368515
"SS","Josh Jones","ANGLE",2558119,0.253121453735697,14,1,1,0,0,1,0,0.221472888930295,-0.211005870754115,0.242654435559517,0.01046701817618
"FS","Tre Boston","ANGLE",2543830,0.241961664313745,6,1,0,1,0,0,0,-0.410512378617944,0.652474042931689,0,0.241961664313745
"LB","Kyzir White","ANGLE",2560928,0.232000051527943,3,1,0,0,0,0,0,0.0968300304829754,0.135170021044968,0,0.232000051527943
"SS","Kurt Coleman","ANGLE",494261,0.225327605099442,2,1,1,0,0,0.5,0,0.144023654067366,0.0991254906981418,-0.0178215396660655,0.243149144765508
"FS","Andrew Adams","ANGLE",2556456,0.22180920946796,14,2,2,0,0,1,0,0.251254127883345,0.111122645301713,-0.140567563717098,0.362376773185058
"ILB","Wesley Woodyard","ANGLE",2354,0.202432864300265,13,2,2,0,0,1,0,0.333356198962885,-0.191777732398644,0.060854397736024,0.141578466564241
"OLB","Thomas Davis","ANGLE",2506352,0.198383935552191,15,3,3,0,0,2,0,0.289768716080233,-0.495016197816924,0.403631417288882,-0.205247481736691
"MLB","Zach Vigil","ANGLE",2553687,0.191379739507392,3,1,1,0,0,1,0,0.0236407930715449,0.042935665092231,0.124803281343616,0.0665764581637759
"MLB","Kevin Minter","ANGLE",2540159,0.177508401120518,1,0,0,0,0,1,0,0,0,0.177508401120518,0
"MLB","Hayes Pullard","ANGLE",2552313,0.176884984510125,1,1,1,0,0,1,0,-0.0111031548766602,0.115376239263278,0.0726119001235073,0.104273084386618
"SS","Daniel Sorensen","ANGLE",2550257,0.174690191092841,9,2,2,0,0,0.5,0,0.126491583318926,0.00154882139169044,0.0466497863822249,0.128040404710616
"ILB","B.J. Goodson","ANGLE",2555522,0.170297311731725,10,0,0,0,0,1,0,0,0,0.170297311731725,0
"OLB","K.J. Wright","ANGLE",2495252,0.168156260989334,10,1,0,1,0,0,0,0.00960386470298907,0.158552396286345,0,0.168156260989334
"SS","Bradley McDougald","ANGLE",2539243,0.157886690789508,14,4,4,0,0,3,0,1.45284842861952,-1.27758624744886,-0.0173754903811522,0.17526218117066
"SS","Sharrod Neasman","ANGLE",2556443,0.145792725801705,14,1,1,0,0,1,0,0.219138449421992,-0.113409916254792,0.040064192634505,0.1057285331672
"OLB","Shaq Thompson","ANGLE",2552447,0.141244566167166,15,1,1,0,0,1,0,-0.0412934045740356,0.105188406136184,0.0773495646050174,0.0638950015621484
"OLB","Christian Kirksey","ANGLE",2543720,0.136659600289482,14,0,0,0,0,0,0,0,0,0.136659600289482,0
"ILB","Christian Jones","ANGLE",2550572,0.136278297640631,13,1,1,0,0,0,0,0.0387363001551274,0.097541997485504,0,0.136278297640631
"S","Brandon Wilson","ANGLE",2558786,0.104061421884934,1,0,0,0,0,0.5,0,0,0,0.104061421884934,0
"SS","Justin Evans","ANGLE",2557945,0.102499880738175,5,0,0,0,0,0.5,0,0,0,0.102499880738175,0
"OLB","Myles Jack","ANGLE",2555329,0.10103369157568,25,3,3,0,0,3,0,0.579660361910252,-0.571080258283989,0.0924535879494167,0.00858010362626305
"SS","Eric Reid","ANGLE",2540152,0.0890135150554582,5,0,0,0,0,0,0,0.0890135150554582,0,0,0.0890135150554582
"OLB","Kyle Van Noy","ANGLE",2543699,0.0869108220652864,22,2,2,0,0,2,0,0.0424921465427248,-0.033364798770882,0.0777834742934436,0.00912734777184279
"ILB","Tae Davis","ANGLE",2561318,0.0837634880389132,13,1,1,0,0,0,0,-0.0557315413437637,0.15880987526723,-0.0193148458845531,0.103078333923466
"SS","Jeff Heath","ANGLE",2541832,0.082371197936626,8,0,0,0,0,0,0,0,0,0.082371197936626,0
"CB","Trevor Williams","ANGLE",2556828,0.0802093595087174,1,1,1,0,0,0.5,0,0.0557440221287634,0.220943685942347,-0.196478348562393,0.27668770807111
"S","Isaiah Johnson","ANGLE",2556567,0.080194716255281,3,0,0,0,0,0,0,0,0,0.080194716255281,0
"MLB","Dont'a Hightower","ANGLE",2533057,0.075358224790973,14,1,1,0,0,0.5,0,0.299352626831815,-0.405291079502148,0.181296677461306,-0.105938452670333
"MLB","Mark Nzeocha","ANGLE",2552684,0.0712292128845154,3,0,0,0,0,0.5,0,0,0,0.0712292128845154,0
"CB","Bobby McCain","ANGLE",2552434,0.0696788951897965,5,0,0,0,0,0.5,0,0,0,0.0696788951897965,0
"CB","Buster Skrine","ANGLE",2495343,0.0565618711162576,1,1,1,0,0,1,0,0.0618201212481854,-0.00673773737387301,0.00147948724194524,0.0550823838743124
"LB","Fred Warner","ANGLE",2560917,0.034778735656361,49,4,3,1,0,1.5,0,0.636419112833758,0.160218431804469,-0.761858808981866,0.796637544638227
"SS","Eddie Pleasant","ANGLE",2532928,0.0322785098381152,4,1,0,0,0,0,0,2.12547308632899,-1.58652476299214,-0.506669813498735,0.53894832333685
"CB","Carlton Davis","ANGLE",2561039,0.0232964538142442,2,0,0,0,0,0,0,0,0,0.0232964538142442,0
"FS","Jermaine Whitehead","ANGLE",2552697,0.0199983223490295,6,1,1,0,0,1,0,0.0796920763183532,-0.0524722168066055,-0.00722153716271819,0.0272198595117477
"SS","Quandre Diggs","ANGLE",2552262,0.017458689717237,8,0,0,0,0,0.5,0,0,0,0.017458689717237,0
"MLB","Anthony Hitchens","ANGLE",2543592,0.016572226532186,29,3,3,0,0,2,0,0.121577207914026,-0.756361363324233,0.651356381942393,-0.634784155410207
"OLB","Leonard Floyd","ANGLE",2555285,0.014242060555595,6,1,1,0,0,1,0,0.129794491084153,-0.32343424386145,0.207881813332892,-0.193639752777297
"FS","Montae Nicholson","ANGLE",2558133,0.00281855737551745,6,0,0,0,0,0,0,0,0,0.00281855737551745,0
"OLB","Kyle Emanuel","ANGLE",2552296,-0.0035393288270535,4,1,1,0,0,1,0,-0.184857226296962,0.209431745138565,-0.0281138476686565,0.024574518841603
"OLB","Lavonte David","ANGLE",2532828,-0.0130673437556781,29,3,3,0,0,4,0,-0.213473329958018,-1.03630801749574,1.23671400369808,-1.24978134745376
"ILB","Brandon Marshall","ANGLE",2532898,-0.0335587721877117,19,2,2,0,0,1,0,0.160539620946517,-0.221985425406984,0.0278870322727553,-0.061445804460467
"OLB","Terrell Suggs","ANGLE",2505660,-0.0608397472857646,4,1,1,0,0,0,0,0.154971027398283,-0.0769818264775166,-0.138828948206531,0.0779892009207664
"CB","Janoris Jenkins","ANGLE",2532875,-0.071849275931562,2,1,1,0,0,0,0,0.165527615533072,-0.237376891464634,0,-0.071849275931562
"CB","Parry Nickerson","ANGLE",2560822,-0.0816106182926517,5,0,0,0,0,0,0,0,0,-0.0816106182926517,0
"CB","K'Waun Williams","ANGLE",2550654,-0.108172302871869,10,1,1,0,0,1,0,-0.327586297409239,-0.299597872784444,0.519011867321814,-0.627184170193683
"ILB","L.J. Fort","ANGLE",2535613,-0.117498112220554,6,0,0,0,0,1,0,-0.0596693271358408,0,-0.0578287850847135,-0.0596693271358408
"SS","Marqui Christian","ANGLE",2556277,-0.119268877232659,9,1,1,0,0,1,0,-0.102926593395719,-0.37348541995278,0.35714313611584,-0.476412013348499
"FS","Jordan Poyer","ANGLE",2539290,-0.123450453508335,10,0,0,0,0,0,0,0,0,-0.123450453508335,0
"ILB","Julian Stanford","ANGLE",2535867,-0.129683194260167,2,0,0,0,0,0,0,-0.129683194260167,0,0,-0.129683194260167
"FS","Marcell Harris","ANGLE",2561006,-0.139251065890062,4,0,0,0,0,0,0,0,0,-0.139251065890062,0
"OLB","Tahir Whitehead","ANGLE",2532986,-0.143258328963071,25,1,1,0,0,1.5,0,-0.115495080341336,-0.0581243970758255,0.0303611484540903,-0.173619477417161
"ILB","Ukeme Eligwe","ANGLE",2558097,-0.163241994673772,5,1,1,0,0,1,0,0.0797133996423964,-0.141904501652819,-0.101050892663349,-0.0621911020104226
"CB","Kenny Moore II","ANGLE",2558976,-0.165101918227326,8,0,0,0,0,0.5,0,0,0,-0.165101918227326,0
"OLB","Lorenzo Alexander","ANGLE",2506268,-0.165882709972049,7,0,0,0,0,0,0,0,0,-0.165882709972049,0
"SS","Damontae Kazee","ANGLE",2558184,-0.16664866218646,7,0,0,0,0,0,0,0,0,-0.16664866218646,0
"ILB","Haason Reddick","ANGLE",2557887,-0.17332694244164,21,1,1,0,0,1,0,0.0978637607031156,-0.301351735186612,0.0301610320418562,-0.203487974483496
"LB","Leighton Vander Esch","ANGLE",2560908,-0.193809652891045,37,4,3,0,0,2.5,0,-0.576930329285903,1.16788402555545,-0.784763349160592,0.590953696269547
"LB","Dorian O'Daniel","ANGLE",2560827,-0.194827881316609,14,0,0,0,0,0,0,0,0,-0.194827881316609,0
"FS","Marcus Maye","ANGLE",2557995,-0.197256731802041,3,1,1,0,0,0,0,-0.110440710155811,-0.0868160216462295,0,-0.197256731802041
"CB","Bryce Callahan","ANGLE",2553500,-0.203078288917908,1,1,1,0,0,0.5,0,0.0512799897714943,-0.0749082251981409,-0.179450053491261,-0.0236282354266466
"CB","Marlon Humphrey","ANGLE",2558067,-0.204702812963223,2,1,1,0,0,1,0,-0.157742919499861,-0.16454686169806,0.117586968234698,-0.322289781197921
"FS","Glover Quin","ANGLE",71441,-0.217915886038587,6,0,0,0,0,1,0,-0.0897088946135244,0,-0.128206991425063,-0.0897088946135244
"CB","Tramon Williams","ANGLE",2506789,-0.231290355029079,3,0,0,0,0,1,0,0,0,-0.231290355029079,0
"OLB","A.J. Klein","ANGLE",2539982,-0.256151784094072,17,1,1,0,0,1,0,-0.116207486061227,-0.16496743799053,0.0250231399576847,-0.281174924051757
"FS","Jaquiski Tartt","ANGLE",2552391,-0.260088660063208,8,2,2,0,0,1.5,0,-0.291550947486914,-0.315385141625889,0.346847429049595,-0.606936089112803
"DB","D.J. Reed","ANGLE",2560850,-0.285648951491364,2,0,0,0,0,0,0,0,0,-0.285648951491364,0
"CB","James Bradberry","ANGLE",2555175,-0.304546669167862,5,2,2,0,0,0.5,0,-0.456092870616862,0.106292937052622,0.045253264396378,-0.34979993356424
"ILB","Zaire Franklin","ANGLE",2561155,-0.312236725300311,9,1,1,0,0,1.5,0,0.0793886501858485,-0.35469280377942,-0.0369325717067391,-0.275304153593571
"ILB","Blake Martinez","ANGLE",2555161,-0.331527358453684,30,4,4,0,0,3,0,0.0569333800257487,-0.762384892528926,0.373924154049493,-0.705451512503177
"MLB","Preston Brown","ANGLE",2543814,-0.334444177620333,13,3,3,0,0,1,0,0.416725356841485,-1.02888658948144,0.277717055019622,-0.612161232639955
"LB","Jermaine Carter","ANGLE",2561093,-0.335290505031873,5,1,1,0,0,0.5,0,-0.00661081067509772,-0.39873069771072,0.0700510033539449,-0.405341508385818
"MLB","Hardy Nickerson","ANGLE",2558982,-0.343557579305293,20,1,1,0,0,1.5,0,-0.0770008104649433,-0.095419585390201,-0.171137183450149,-0.172420395855144
"CB","Desmond King","ANGLE",2557927,-0.350158554050888,6,1,1,0,0,1.5,0,-0.405724190252914,-0.375711011075834,0.43127664727786,-0.781435201328748
"CB","Javien Elliott","ANGLE",2556934,-0.38238056238215,5,0,0,0,0,0,0,-0.38238056238215,0,0,-0.38238056238215
"OLB","Brennan Scarlett","ANGLE",2556673,-0.394930356674071,4,1,1,0,0,1,0,-0.411381523999776,-0.025944208642275,0.0423953759679796,-0.437325732642051
"SS","Adrian Phillips","ANGLE",2550842,-0.408828778627222,28,2,1,1,0,2,0,-0.33094160114013,-0.0102999093282369,-0.0675872681588553,-0.341241510468367
"OLB","Kamu Grugier-Hill","ANGLE",2556363,-0.422898817945752,10,2,2,0,0,1,0,-0.0466842478008623,0.0749290765748188,-0.451143646719708,0.0282448287739565
"SS","Derwin James","ANGLE",2560760,-0.455386369662312,19,5,5,0,0,3.5,0,-0.206595543828487,0.563404905284132,-0.812195731117957,0.356809361455645
"ILB","Mason Foster","ANGLE",2495281,-0.464871270773235,32,3,3,0,0,2,0,-0.00150471819371789,0.0425734007407559,-0.505939953320273,0.041068682547038
"SS","Barry Church","ANGLE",494259,-0.513859926616604,3,0,0,0,0,0,0,-0.513859926616604,0,0,-0.513859926616604
"MLB","Kwon Alexander","ANGLE",2552592,-0.553899647118557,14,3,2,1,0,1,0,0.265791034996667,0.00571666353937302,-0.825407345654597,0.27150769853604
"OLB","Eric Wilson","ANGLE",2559012,-0.585886926591215,9,1,1,0,0,1,0,0.156972210061472,-0.162028690090256,-0.580830446562431,-0.00505648002878401
"LB","Josey Jewell","ANGLE",2560763,-0.605657083743713,13,1,1,0,0,1.5,0,-0.0791286525348891,-0.261111812403483,-0.265416618805341,-0.340240464938372
"FS","Antoine Bethea","ANGLE",2495807,-0.64598413642453,9,1,1,0,0,1,0,-0.278561434103113,0.245546746956229,-0.612969449277646,-0.033014687146884
"SS","Matthias Farley","ANGLE",2556429,-0.651492230190438,5,1,1,0,0,0,0,-0.0911570126866406,-0.45028824613225,-0.110046971371547,-0.541445258818891
"FS","Clayton Geathers","ANGLE",2552386,-0.653042675133083,14,2,2,0,0,1,0,-0.230390134380738,-0.3590840014759,-0.063568539276445,-0.589474135856638
"CB","Jonathan Jones","ANGLE",2556571,-0.720929758225027,4,1,1,0,0,1,0,-0.102380213889718,-0.364344156438528,-0.254205387896781,-0.466724370328246
"ILB","Todd Davis","ANGLE",2550930,-0.726734976001703,36,4,3,1,0,1,0,0.262574345979625,-0.407131789024358,-0.58217753295697,-0.144557443044733
"MLB","Jarrad Davis","ANGLE",2557855,-0.819211652057035,21,3,3,0,0,1,0,-0.376990572766974,-0.365603978812432,-0.0766171004776288,-0.742594551579406
"ILB","Vince Williams","ANGLE",2540221,-0.827999705924353,16,3,3,0,0,1.5,0,0.324851555956658,-0.59402669272934,-0.558824569151671,-0.269175136772682
"OLB","Alex Anzalone","ANGLE",2558163,-0.870011594066352,14,1,1,0,0,0.5,0,0.00327447147260906,-0.155745046628493,-0.717541018910468,-0.152470575155884
"FS","Corey Graham","ANGLE",2495613,-0.921070821792909,6,1,1,0,0,0,0,0.192852242252666,-0.114970341567031,-0.998952722478544,0.0778819006856351
"CB","Cyrus Jones","ANGLE",2555380,-0.939821757857963,1,1,1,0,0,0,0,0.0443619896187037,-0.6463091815216,-0.337874565955067,-0.601947191902896
"OLB","Telvin Smith","ANGLE",2543711,-0.983614274432707,30,6,6,0,0,0,0,0.661609172735676,-0.256183146424523,-1.38904030074386,0.405426026311153
"LB","Alec Ogletree","ANGLE",2540143,-0.999147012906616,26,4,4,0,0,2,0,-0.187607516813332,-1.08534880075122,0.273809304657936,-1.27295631756455
"OLB","Jordan Evans","ANGLE",2558801,-1.04103218487576,14,2,1,0,0,0,0,-0.0990818999496421,1.45270806986549,-2.39465835479161,1.35362616991585
"LB","Foye Oluokun","ANGLE",2561132,-1.15785511184316,20,4,4,0,0,3,0,0.640784969608281,0.147168201834129,-1.94580828328557,0.78795317144241
"ILB","Josh Bynes","ANGLE",2530491,-1.16060434069882,19,1,1,0,0,2.5,0,0.206722180427767,-0.138354136638202,-1.22897238448839,0.0683680437895651
"ILB","Reggie Ragland","ANGLE",2555169,-1.18600921803891,14,1,1,0,0,0,0,-0.147910550880824,-0.981319979630758,-0.0567786875273284,-1.12923053051158
"ILB","Zach Cunningham","ANGLE",2558094,-1.22787692652679,21,3,3,0,0,0,0,-0.0667517830290968,-0.182723114098204,-0.978402029399494,-0.249474897127301
"MLB","Jaylon Smith","ANGLE",2555310,-1.24307627801925,37,2,1,0,0,1,0,-0.0266305186035787,-0.178705845491234,-1.03773991392444,-0.205336364094813
"CB","Briean Boddy-Calhoun","ANGLE",2556475,-1.31326804710862,10,1,1,0,0,1,0,0.121265862320563,-0.162005234046689,-1.27252867538249,-0.040739371726126
"SS","Sean Davis","ANGLE",2555386,-1.3562811526711,11,1,1,0,0,0,0,-0.0855899201010346,-1.27069123257007,0,-1.3562811526711
"CB","P.J. Williams","ANGLE",2552484,-1.36220993497026,7,1,1,0,0,0,0,0.396505570160236,-1.08402591140807,-0.674689593722431,-0.687520341247834
"FS","Devin McCourty","ANGLE",494287,-1.43400822675986,7,1,1,0,0,1,0,0.311329555430207,-1.86068376655545,0.115345984365381,-1.54935421112524
"LB","Jerome Baker","ANGLE",2560966,-1.49474282215155,26,4,3,0,0,0.5,0,-0.0135194217765797,-0.170495331658958,-1.31072806871601,-0.184014753435538
"FS","Tyrann Mathieu","ANGLE",2540180,-1.51071001601843,10,1,1,0,0,0,0,-0.548430936818636,-0.84024989101673,-0.122029188183067,-1.38868082783537
"ILB","C.J. Mosley","ANGLE",2543464,-1.51212674453597,23,3,3,0,0,2,0,0.242536655039789,-1.65101989752356,-0.103643502052196,-1.40848324248377
"OLB","Barkevious Mingo","ANGLE",2540140,-1.58991409087697,10,0,0,0,0,1,0,0,0,-1.58991409087697,0
"MLB","Joe Schobert","ANGLE",2555166,-1.66838297676866,24,2,1,0,0,0,0,0.38424251443869,-0.760363689110471,-1.29226180209688,-0.376121174671781
"OLB","Jamie Collins","ANGLE",2539311,-1.67159404216868,33,4,4,0,0,2,0,-0.162702386369749,-0.619115118625732,-0.8897765371732,-0.781817504995481
"FS","Xavier Woods","ANGLE",2558159,-1.71445739216222,11,1,1,0,0,1,0,-1.16724076054968,0.85301618112869,-1.40023281274123,-0.31422457942099
