"nflId_def","Pos","Player","G","Pass Snaps","%Zone","route","Zone EPS","Zone EPS Closing","Zone EPS Ball Skills","Zone EPS Tackling","Covers","Accurate TAR","C","INT","PB","T","FF"
2539240,"SS","Micah Hyde (BUF)",15,479,0.91,"GO",3.38,0.51,2.87,0,39,1,0,1,0,0,0
2552385,"FS","Adrian Amos (CHI)",16,655,0.93,"CROSS",3.37,-0.98,4.23,0.12,40,8,5,0,3,5,0
2532848,"FS","Tashaun Gipson (JAX)",16,549,0.81,"GO",3.28,1.8,1.48,0,39,2,0,0,0,0,0
2540180,"FS","Tyrann Mathieu (HOU)",16,637,0.74,"POST",3.21,3.82,-0.72,0.1,27,1,1,0,0,1,0
2540288,"CB","Darius Slay (DET)",15,499,0.4,"IN",3.17,-0.44,3.61,0,13,1,0,0,0,0,0
2558175,"LB","Nate Gerry (PHI)",9,60,0.86,"OUT",3.17,-0.18,3.35,0,3,1,0,0,0,0,0
2555277,"CB","Eli Apple (NO/NYG)",15,552,0.4,"POST",3.16,-0.71,2.17,1.7,13,2,1,0,0,2,0
2539311,"OLB","Jamie Collins (CLE)",16,599,0.79,"CROSS",3.13,0.18,2.44,0.52,35,5,4,1,0,3,0
2553822,"FS","Curtis Riley (NYG)",16,578,0.97,"GO",3.12,0.45,2.67,0,41,1,0,1,0,0,0
2553655,"FS","Anthony Harris (MIN)",11,299,0.92,"OUT",3.11,-0.58,3.7,0,9,1,0,0,0,0,0
2532948,"FS","Harrison Smith (MIN)",15,495,0.88,"IN",3.11,-0.26,3.37,0,20,1,0,0,0,0,0
496739,"SS","Reshad Jones (MIA)",14,417,0.91,"HITCH",3.1,0.24,2.6,0.26,20,2,1,1,0,1,0
2555322,"ILB","Darron Lee (NYJ)",12,448,0.79,"HITCH",3.04,2.22,0.54,0.27,54,9,7,0,0,4,0
2557979,"SS","Jamal Adams (NYJ)",16,633,0.8,"CORNER",3.03,0.45,2.3,0.29,14,1,0,0,1,2,0
2557920,"CB","Jourdan Lewis (DAL)",13,136,0.61,"FLAT",3.02,1.17,-0.56,2.41,14,3,3,0,0,3,0
2560851,"SS","Justin Reid (HOU)",16,548,0.91,"CORNER",2.98,0.03,3.1,-0.15,21,3,1,0,2,1,0
494287,"FS","Devin McCourty (NE)",16,625,0.84,"FLAT",2.98,0.42,-0.52,3.08,33,7,7,0,0,4.5,1
2539233,"SS","Shawn Williams (CIN)",16,537,0.88,"HITCH",2.96,1.77,-0.81,2,31,2,2,0,0,3,0
2559058,"S","Maurice Smith (MIA)",2,29,0.9,"POST",2.95,-0.5,3.45,0,5,1,0,0,1,0,0
2560928,"LB","Kyzir White (LAC)",2,42,0.74,"CROSS",2.93,2.45,0.49,0,8,2,1,1,0,0,0
71251,"SS","Patrick Chung (NE)",15,561,0.54,"ANGLE",2.9,-0.18,1.06,2.01,10,4,3,1,0,1,0
2561006,"FS","Marcell Harris (SF)",7,172,0.82,"FLAT",2.89,0.25,-0.13,2.78,17,3,3,0,0,3.5,0
2539653,"CB","Robert Alford (ATL)",15,554,0.31,"CORNER",2.88,0.2,2.68,0,5,1,0,0,1,0,0
2543814,"MLB","Preston Brown (CIN)",7,191,0.81,"HITCH",2.84,0.5,2.29,0.05,29,3,2,1,0,1.5,0
2543681,"CB","Kyle Fuller (CHI)",16,647,0.38,"IN",2.84,0.72,2,0.13,29,4,2,1,0,2,0
2495872,"CB","Johnathan Joseph (HOU)",14,485,0.48,"HITCH",2.81,2.12,0.51,0.19,63,14,11,1,2,10,0
2552315,"MLB","Jordan Hicks (PHI)",12,461,0.86,"POST",2.76,1.06,0,1.7,17,0,0,0,0,1,0
2553657,"OLB","Neville Hewitt (NYJ)",8,150,0.68,"IN",2.76,-0.86,3.62,0,6,1,0,0,0,0,0
2557967,"OLB","Duke Riley (ATL)",14,233,0.83,"CROSS",2.72,-0.24,2.27,0.69,34,2,1,0,0,2,0
2539290,"FS","Jordan Poyer (BUF)",16,546,0.91,"WHEEL",2.71,0.84,2.44,-0.57,3,1,0,0,1,1,0
2533062,"CB","Stephon Gilmore (NE)",16,627,0.3,"CORNER",2.7,1.12,1.58,0,10,2,0,0,2,0,0
2552484,"CB","P.J. Williams (NO)",15,483,0.44,"POST",2.7,-0.51,3.21,0,24,1,0,0,0,0,0
2555378,"CB","Tavon Young (BAL)",15,401,0.5,"FLAT",2.67,0.36,-0.05,2.36,23,1,1,0,0,4,0
2556571,"CB","Jonathan Jones (NE)",16,353,0.52,"POST",2.66,0.2,2.46,0,20,1,0,1,0,0,0
2556445,"CB","Brian Poole (ATL)",16,531,0.59,"HITCH",2.64,0.42,2.06,0.16,68,4,3,1,0,3,0
2555340,"OLB","Kyler Fackrell (GB)",16,344,0.72,"OUT",2.63,0.47,1.4,0.76,5,2,2,0,0,0,0
2552391,"FS","Jaquiski Tartt (SF)",7,212,0.83,"POST",2.61,3.17,-0.56,0,16,1,0,0,0,0,0
2534832,"FS","Rodney McLeod (PHI)",3,106,0.96,"HITCH",2.6,0.09,2.51,0,14,2,1,0,1,0,0
2550613,"CB","Malcolm Butler (TEN)",16,501,0.37,"GO",2.57,-1.13,3.7,0,37,1,0,0,0,0,0
2560763,"LB","Josey Jewell (DEN)",15,198,0.76,"FLAT",2.53,0.55,-0.72,2.69,19,3,3,0,0,1,0
2559208,"CB","Ryan Lewis (BUF)",5,102,0.42,"HITCH",2.52,0.9,1.61,0.01,17,5,4,0,1,3,0
2557961,"CB","Quincy Wilson (IND)",13,282,0.44,"SLANT",2.51,-0.25,2.76,0,8,2,1,0,0,0,0
2558184,"SS","Damontae Kazee (ATL)",16,572,0.97,"FLAT",2.5,0.25,1.52,0.73,17,1,0,0,1,0,0
2556571,"CB","Jonathan Jones (NE)",16,353,0.52,"SLANT",2.5,0,0,2.5,12,0,0,0,0,0,0
2539943,"FS","D.J. Swearinger (WAS)",15,565,0.86,"IN",2.5,-0.21,2.71,0,35,2,1,1,0,0,0
2559260,"DB","Tre Sullivan (PHI)",11,174,0.95,"GO",2.5,2.5,0,0,17,0,0,0,0,0,0
2560760,"SS","Derwin James (LAC)",15,568,0.72,"HITCH",2.42,-0.33,2.79,-0.04,34,3,2,0,1,2,0
2558176,"FS","Eddie Jackson (CHI)",14,577,0.95,"CROSS",2.42,-0.36,2.78,0,31,3,0,0,2,0,0
2556278,"FS","Will Parks (DEN)",15,327,0.72,"POST",2.42,0.94,1.47,0,12,1,0,0,1,0,0
2559164,"CB","Michael Davis (LAC)",13,362,0.36,"HITCH",2.4,1.53,-0.52,1.39,36,6,4,0,2,3,0
2543597,"ILB","Avery Williamson (NYJ)",16,627,0.84,"SLANT",2.39,-0.37,2.76,0,20,1,0,0,0,0,0
2552592,"MLB","Kwon Alexander (TB)",6,233,0.8,"CROSS",2.39,1.07,0.73,0.59,30,4,4,0,0,1,0
2543637,"CB","Terrance Mitchell (CLE)",8,265,0.49,"GO",2.39,0.29,-0.78,2.88,26,3,2,1,0,2,0
2532966,"MLB","Bobby Wagner (SEA)",14,525,0.81,"HITCH",2.38,0.41,1.95,0.02,68,7,4,0,3,4,0
2555322,"ILB","Darron Lee (NYJ)",12,448,0.79,"CROSS",2.37,0.05,2.29,0.03,56,3,1,0,0,1,0
2558982,"MLB","Hardy Nickerson (CIN)",14,296,0.77,"CROSS",2.37,-0.79,0.03,3.13,32,1,1,0,0,0,0
2555255,"OLB","De'Vondre Campbell (ATL)",16,531,0.75,"ANGLE",2.37,0.8,-0.28,1.84,26,4,4,0,0,3.5,0
2532946,"CB","Coty Sensabaugh (PIT)",15,458,0.36,"GO",2.35,-1.59,3.94,0,24,2,0,0,0,0,0
2540152,"SS","Eric Reid (CAR)",13,424,0.9,"CORNER",2.35,0.8,1.55,0,16,1,0,0,1,0,0
2541192,"SS","Chris Banjo (NO)",8,37,0.91,"POST",2.34,0.69,1.65,0,8,1,0,1,0,0,0
2556367,"CB","William Jackson (CIN)",16,601,0.32,"GO",2.33,-1.53,3.86,0,37,2,0,0,0,0,0
2553536,"CB","Troy Hill (LA)",12,235,0.48,"GO",2.33,-0.2,2.86,-0.34,29,2,1,1,0,0,0
2507167,"FS","Reggie Nelson (OAK)",11,210,0.9,"CORNER",2.29,-0.38,2.67,0,8,1,0,0,0,0,0
2558094,"ILB","Zach Cunningham (HOU)",14,440,0.76,"FLAT",2.29,0.85,0.42,1.02,63,4,4,0,0,5,0
2560712,"S","Terrell Edmunds (PIT)",16,590,0.88,"HITCH",2.29,0.86,1.41,0.02,36,3,1,0,0,0,0
2532861,"CB","Casey Hayward (LAC)",15,560,0.32,"GO",2.29,2.29,0,0,33,0,0,0,0,0,0
2540164,"SS","Tony Jefferson (BAL)",14,531,0.84,"GO",2.27,2.27,0,0,47,0,0,0,0,0,0
2541162,"CB","A.J. Bouye (JAX)",13,449,0.36,"FLAT",2.27,1.26,1.14,-0.13,10,1,1,0,0,1,0
2555169,"ILB","Reggie Ragland (KC)",15,234,0.91,"CROSS",2.27,0,0,2.27,35,0,0,0,0,0,0
2552386,"FS","Clayton Geathers (IND)",12,407,0.88,"FLAT",2.26,0.27,1.11,0.88,30,2,2,0,0,3,0
2552484,"CB","P.J. Williams (NO)",15,483,0.44,"SLANT",2.25,0.18,2.07,-0.01,16,5,3,0,2,1,0
2555158,"FS","Kevin Byard (TEN)",16,582,0.87,"POST",2.24,0.15,2.05,0.04,34,1,0,0,0,1,0
2552389,"CB","Damarious Randall (CLE)",15,629,0.9,"POST",2.24,-1.17,3.36,0.04,34,3,1,0,1,1,0
2532828,"OLB","Lavonte David (TB)",14,522,0.73,"CROSS",2.23,0,1.09,1.13,55,3,2,0,0,1,0
80668,"CB","Captain Munnerlyn (CAR)",16,425,0.52,"FLAT",2.23,-0.92,2.1,1.05,21,3,2,0,1,1,0
2495281,"ILB","Mason Foster (WAS)",16,585,0.86,"HITCH",2.23,1.92,1.62,-1.32,64,7,4,0,0,3,0
2532875,"CB","Janoris Jenkins (NYG)",16,602,0.44,"FLAT",2.21,1.18,0.47,0.56,21,3,3,0,0,3.5,0
2558183,"SS","John Johnson (LA)",16,564,0.86,"FLAT",2.2,0.86,0.98,0.36,16,2,2,0,0,4,0
2540180,"FS","Tyrann Mathieu (HOU)",16,637,0.74,"SLANT",2.16,-0.26,1.85,0.58,18,2,1,0,0,1,0
2555378,"CB","Tavon Young (BAL)",15,401,0.5,"IN",2.16,0.23,1.83,0.1,27,3,2,1,0,1,0
2558976,"CB","Kenny Moore II (IND)",15,514,0.55,"SCREEN",2.15,0.96,1.09,0.11,24,4,4,0,0,1.5,0
2532800,"OLB","Nigel Bradham (PHI)",15,591,0.81,"ANGLE",2.13,1.09,0.78,0.26,45,5,4,0,1,2.5,0
2507167,"FS","Reggie Nelson (OAK)",11,210,0.9,"GO",2.13,0.12,2.01,0,21,1,0,1,0,0,0
2558182,"SS","Rayshawn Jenkins (LAC)",8,73,0.77,"OUT",2.12,0.66,1.46,0,3,1,0,0,0,0,0
2558176,"FS","Eddie Jackson (CHI)",14,577,0.95,"WHEEL",2.11,0,0,2.11,1,0,0,0,0,0,0
2543474,"CB","Darqueze Dennard (CIN)",13,412,0.44,"SCREEN",2.08,2.08,2,-2,15,4,4,0,0,1.5,0
2556429,"SS","Matthias Farley (IND)",5,101,0.93,"POST",2.08,-0.01,2.1,0,11,1,0,0,1,0,0
2532789,"ILB","Mark Barron (LA)",12,279,0.74,"SLANT",2.08,0,1.9,0.18,12,3,2,0,0,0,0
2555530,"FS","Vonn Bell (NO)",16,499,0.76,"SLANT",2.08,1.88,0.19,0,13,1,0,0,0,0,0
2552259,"CB","Josh Shaw (KC/TB)",7,53,0.76,"IN",2.04,0.08,1.96,0,3,1,0,0,0,0,0
2540143,"LB","Alec Ogletree (NYG)",13,473,0.82,"WHEEL",2.04,-0.95,2.99,0,1,1,0,1,0,0,0
2558176,"FS","Eddie Jackson (CHI)",14,577,0.95,"GO",2.04,0.43,1.29,0.32,52,2,1,0,1,1,0
2495281,"ILB","Mason Foster (WAS)",16,585,0.86,"SLANT",2.02,0.14,-0.13,2.01,25,1,1,0,0,1,0
2555505,"OLB","Matt Judon (BAL)",16,434,0.76,"SLANT",2.01,0.15,1.86,0,4,1,0,0,0,0,0
2535613,"ILB","L.J. Fort (PIT)",11,198,0.83,"OUT",2.01,0.76,-0.06,1.31,11,1,1,0,0,1,0
2556593,"ILB","Cory Littleton (LA)",16,556,0.75,"CROSS",2,0.54,0.63,0.83,61,4,2,0,1,0.5,0
2543811,"CB","Pierre Desir (IND)",15,528,0.34,"CORNER",2,-0.04,2.04,0,14,1,0,0,1,0,0
2560970,"S","Jessie Bates (CIN)",16,630,0.96,"WHEEL",1.99,0,0,1.99,5,0,0,0,0,1,0
2532946,"CB","Coty Sensabaugh (PIT)",15,458,0.36,"IN",1.99,1.61,0.25,0.13,18,4,1,0,1,0,0
2539943,"FS","D.J. Swearinger (WAS)",15,565,0.86,"OUT",1.99,-0.25,2.31,-0.06,29,4,2,0,2,1,0
2532961,"ILB","Danny Trevathan (CHI)",16,628,0.79,"ANGLE",1.99,-0.48,2.64,-0.18,31,3,1,0,0,0,0
2553655,"FS","Anthony Harris (MIN)",11,299,0.92,"FLAT",1.98,0.18,1.6,0.19,10,2,1,0,1,2,0
2539233,"SS","Shawn Williams (CIN)",16,537,0.88,"CORNER",1.94,1.45,0.49,0,11,1,0,0,1,0,0
2539935,"OLB","Kiko Alonso (MIA)",15,525,0.81,"POST",1.94,1.94,0,0,25,0,0,0,0,0,0
2557837,"OLB","Reuben Foster (SF)",6,198,0.8,"IN",1.93,0.01,2.75,-0.82,7,1,0,0,0,0,0
2558136,"CB","Fabian Moreau (WAS)",16,528,0.48,"OUT",1.93,0.64,1.3,0,26,1,0,0,1,0,0
2495807,"FS","Antoine Bethea (ARI)",16,567,0.84,"CROSS",1.92,-0.35,1.82,0.45,42,5,3,0,2,3,0
79848,"SS","Malcolm Jenkins (PHI)",16,680,0.73,"ANGLE",1.91,1.1,0.75,0.06,27,4,3,0,0,4.5,0
2560908,"LB","Leighton Vander Esch (DAL)",16,455,0.77,"HITCH",1.9,-0.07,1.77,0.2,50,6,4,0,1,4.5,0
2495872,"CB","Johnathan Joseph (HOU)",14,485,0.48,"undefined",1.88,0.93,0.25,0.7,3,2,2,0,0,1,0
2495108,"CB","Prince Amukamara (CHI)",15,585,0.35,"CROSS",1.88,0.31,1.34,0.23,23,1,0,0,1,1,0
2550930,"ILB","Todd Davis (DEN)",15,426,0.82,"SCREEN",1.88,0.97,0.04,0.87,15,2,2,0,0,1,0
2560917,"LB","Fred Warner (SF)",15,549,0.82,"CROSS",1.88,-0.75,3.59,-0.96,89,7,3,0,2,0,0
2555386,"SS","Sean Davis (PIT)",15,589,0.98,"GO",1.86,1.46,0.41,0,66,1,0,0,1,0,0
2560908,"LB","Leighton Vander Esch (DAL)",16,455,0.77,"SCREEN",1.86,0.53,-0.3,1.64,23,1,1,0,0,1,0
2543741,"FS","Jimmie Ward (SF)",8,237,0.63,"HITCH",1.85,-0.81,2.6,0.06,12,2,1,0,0,1,0
2560789,"LB","Darius Leonard (IND)",15,535,0.78,"ANGLE",1.84,-0.26,3.64,-1.54,41,11,10,0,1,7.5,0
2560916,"CB","Denzel Ward (CLE)",13,500,0.44,"SCREEN",1.84,0.54,0.73,0.57,17,3,3,0,0,2,0
2553637,"CB","Justin Coleman (SEA)",15,444,0.56,"IN",1.84,-0.25,-0.2,2.29,40,2,2,0,0,2,1
2560766,"CB","Taron Johnson (BUF)",11,262,0.5,"OUT",1.83,-0.03,0.38,1.48,21,1,1,0,0,2,0
2560970,"S","Jessie Bates (CIN)",16,630,0.96,"GO",1.83,0.78,0.98,0.07,77,1,0,1,0,1,0
2539932,"CB","Jamar Taylor (ARI/DEN)",11,161,0.45,"FLAT",1.83,1,0.58,0.24,11,1,1,0,0,1,0
2560917,"LB","Fred Warner (SF)",15,549,0.82,"SCREEN",1.82,-0.28,0,2.11,17,2,2,0,0,0,0
2540180,"FS","Tyrann Mathieu (HOU)",16,637,0.74,"FLAT",1.82,0.8,0.14,0.89,38,4,4,0,0,4.5,0
2495108,"CB","Prince Amukamara (CHI)",15,585,0.35,"SCREEN",1.82,0.67,0.46,0.7,10,2,2,0,0,2,0
2555322,"ILB","Darron Lee (NYJ)",12,448,0.79,"SCREEN",1.82,0.65,0.38,0.79,13,2,1,0,0,1,0
2559054,"ILB","Nicholas Morrow (OAK)",14,237,0.78,"FLAT",1.82,1.26,1.08,-0.52,37,4,4,0,0,3,0
2556571,"CB","Jonathan Jones (NE)",16,353,0.52,"CROSS",1.81,0.09,0.13,1.59,27,3,3,0,0,3,0
2533062,"CB","Stephon Gilmore (NE)",16,627,0.3,"HITCH",1.81,1.03,0.23,0.56,47,6,5,0,1,3,0
2555530,"FS","Vonn Bell (NO)",16,499,0.76,"POST",1.81,-0.06,1.86,0,25,1,0,0,1,0,0
2560908,"LB","Leighton Vander Esch (DAL)",16,455,0.77,"FLAT",1.8,0.38,-0.03,1.46,52,6,6,0,0,5,0
2557972,"MLB","Marquel Lee (OAK)",16,171,0.84,"CROSS",1.78,-0.08,0.08,1.78,36,2,2,0,0,2.5,0
2560970,"S","Jessie Bates (CIN)",16,630,0.96,"CORNER",1.78,-1.65,3.43,0,18,1,0,0,0,0,0
2555349,"CB","Kendall Fuller (KC)",14,622,0.48,"IN",1.78,-0.05,1.83,0,25,1,0,0,0,0,0
2553655,"FS","Anthony Harris (MIN)",11,299,0.92,"GO",1.77,1.02,0.75,0,33,1,0,0,1,0,0
2539653,"CB","Robert Alford (ATL)",15,554,0.31,"CROSS",1.77,2.91,-1.13,0,25,1,0,0,1,0,0
496739,"SS","Reshad Jones (MIA)",14,417,0.91,"POST",1.77,0.89,0.88,0,19,1,0,0,1,0,0
2533008,"ILB","Demario Davis (NO)",16,545,0.81,"SCREEN",1.77,0.84,0.37,0.56,18,5,5,0,0,0.5,0
2560877,"LB","Roquan Smith (CHI)",16,567,0.73,"HITCH",1.76,1.21,0.47,0.08,75,4,3,0,0,2,0
2539320,"SS","Kenny Vaccaro (TEN)",13,417,0.9,"SLANT",1.76,1.13,0.62,0,7,1,0,0,1,0,0
4365,"CB","Brandon Carr (BAL)",16,556,0.42,"IN",1.76,-0.03,1.79,0,21,1,0,0,0,0,0
2555550,"SS","Justin Simmons (DEN)",15,572,0.8,"CORNER",1.75,1.75,0,0,16,0,0,0,0,0,0
494277,"FS","Kendrick Lewis (TEN)",8,155,0.94,"SCREEN",1.74,0,0,1.74,5,0,0,0,0,0,0
2558119,"SS","Josh Jones (GB)",11,295,0.79,"FLAT",1.72,1.3,0.93,-0.51,22,3,2,0,1,3,0
2557979,"SS","Jamal Adams (NYJ)",16,633,0.8,"GO",1.71,0.31,1.39,0,54,1,0,0,1,0,0
2543492,"FS","Lamarcus Joyner (LA)",15,524,0.96,"GO",1.7,-1.33,3.1,-0.07,50,3,1,0,1,1,0
2539338,"CB","B.W. Webb (NYG)",16,576,0.4,"GO",1.69,0.72,0.97,0,31,1,0,1,0,0,0
2539237,"CB","D.J. Hayden (JAX)",10,279,0.53,"GO",1.69,0.24,1.45,0,29,1,0,0,1,0,0
496735,"CB","Kareem Jackson (HOU)",16,593,0.63,"OUT",1.69,0.52,1.17,0,28,1,0,0,1,0,0
2534846,"CB","Neiko Thorpe (SEA)",3,23,0.33,"GO",1.68,1.68,0,0,1,0,0,0,0,0,0
