"nflId_def","Pos","Player","G","Pass Snaps","route","%Man","EPS","Man EPS","Zone EPS","Covers","Accurate TAR","C","INT","PB","T","FF"
2557867,"CB","Tre'Davious White (BUF)",16,526,"OUT",0.63,5.77,1.71,4.06,41,6,4,1,0,3.5,0
2550842,"SS","Adrian Phillips (LAC)",15,436,"FLAT",0.15,5.69,1.32,4.38,46,3,1,1,0,2,0
2560928,"LB","Kyzir White (LAC)",2,42,"CROSS",0.26,5.69,2.75,2.93,10,3,1,1,1,0,0
2540288,"CB","Darius Slay (DET)",15,499,"IN",0.6,5.65,2.47,3.17,38,4,2,0,1,2,0
2550654,"CB","K'Waun Williams (SF)",13,351,"FLAT",0.48,5.64,3.96,1.68,39,4,4,0,0,3.5,0
2533062,"CB","Stephon Gilmore (NE)",16,627,"GO",0.7,5.63,4.92,0.71,202,12,3,0,4,1,0
1302,"CB","Aqib Talib (LA)",8,217,"CORNER",0.45,5.61,-0.28,5.89,15,1,0,1,0,0,0
2557920,"CB","Jourdan Lewis (DAL)",13,136,"OUT",0.39,5.58,1.72,3.85,13,2,1,1,0,1,0
2560916,"CB","Denzel Ward (CLE)",13,500,"SLANT",0.56,5.57,6.48,-0.91,41,8,6,0,2,4,1
2532966,"MLB","Bobby Wagner (SEA)",14,525,"ANGLE",0.19,5.57,0.71,4.86,32,4,3,1,0,1.5,0
2558009,"FS","Budda Baker (ARI)",14,491,"HITCH",0.47,5.52,4.61,0.91,91,7,6,0,0,4.5,0
2560725,"S","Minkah Fitzpatrick (MIA)",16,507,"SCREEN",0.47,5.52,0.71,4.81,24,1,0,1,0,1,0
2552391,"FS","Jaquiski Tartt (SF)",7,212,"POST",0.17,5.51,2.9,2.61,17,1,0,0,0,0,0
2560827,"LB","Dorian O'Daniel (KC)",13,237,"FLAT",0.24,5.5,4.24,1.26,45,4,4,0,0,5,0
2553500,"CB","Bryce Callahan (CHI)",13,454,"FLAT",0.61,5.49,4.79,0.69,42,8,7,0,1,6,0
2543571,"CB","Bashaud Breeland (GB)",7,184,"CROSS",0.55,5.47,1.27,4.2,25,3,1,1,1,0,0
2552488,"CB","Marcus Peters (LA)",16,525,"CROSS",0.47,5.46,5.11,0.36,32,7,2,1,2,2.5,0
238227,"FS","Mike Mitchell (IND)",8,141,"IN",0.04,5.41,0.09,5.32,4,1,1,0,0,2,1
2539320,"SS","Kenny Vaccaro (TEN)",13,417,"SLANT",0.1,5.27,3.51,1.76,9,3,1,0,2,0.5,0
2555177,"CB","Mackensie Alexander (MIN)",15,333,"OUT",0.54,5.26,4.36,0.91,40,5,3,0,1,1,0
496727,"SS","Morgan Burnett (PIT)",11,254,"GO",0.29,5.18,4.95,0.23,42,7,3,0,2,2,0
2558119,"SS","Josh Jones (GB)",11,295,"FLAT",0.21,5.16,3.44,1.72,36,3,2,0,1,3,0
2532920,"CB","Josh Norman (WAS)",16,599,"SLANT",0.6,5.15,4.68,0.48,49,11,7,1,3,3.5,0
2560884,"CB","M.J. Stewart (TB)",8,202,"GO",0.56,5.12,5.12,0,21,4,2,0,1,1,0
80668,"CB","Captain Munnerlyn (CAR)",16,425,"GO",0.48,5.09,5.09,0,34,3,1,0,1,1,0
2560753,"CB","Donte Jackson (CAR)",15,524,"SCREEN",0.55,5.09,1.66,3.43,25,5,5,0,0,5.5,0
2555280,"CB","Jalen Ramsey (JAX)",16,550,"FLAT",0.66,5.04,1.17,3.87,19,4,3,0,0,3,0
2532961,"ILB","Danny Trevathan (CHI)",16,628,"OUT",0.21,5.03,3.77,1.26,71,11,9,0,0,3.5,0
2539233,"SS","Shawn Williams (CIN)",16,537,"HITCH",0.12,5.02,2.06,2.96,33,2,2,0,0,3,0
2558067,"CB","Marlon Humphrey (BAL)",14,469,"IN",0.64,4.96,4.96,0,21,3,0,0,2,0,0
71251,"SS","Patrick Chung (NE)",15,561,"HITCH",0.46,4.95,4.53,0.42,61,3,1,0,0,1.5,0
2555169,"ILB","Reggie Ragland (KC)",15,234,"SLANT",0.09,4.92,0.08,4.85,9,1,0,1,0,0,0
2559260,"DB","Tre Sullivan (PHI)",11,174,"GO",0.05,4.92,2.42,2.5,19,0,0,0,0,0,0
2553500,"CB","Bryce Callahan (CHI)",13,454,"GO",0.61,4.89,4.89,0,59,1,0,0,0,0,0
2560913,"DB","Tracy Walker (DET)",14,194,"CROSS",0.06,4.87,0.54,4.34,13,2,0,1,1,0,0
2543474,"CB","Darqueze Dennard (CIN)",13,412,"SCREEN",0.56,4.86,2.77,2.08,20,4,4,0,0,1.5,0
2555378,"CB","Tavon Young (BAL)",15,401,"FLAT",0.5,4.84,2.16,2.67,39,1,1,0,0,4,0
2556475,"CB","Briean Boddy-Calhoun (CLE)",14,426,"CROSS",0.39,4.81,4.68,0.13,31,2,1,0,0,1,0
2543850,"SS","Ricardo Allen (ATL)",3,130,"ANGLE",0.09,4.76,-0.59,5.36,5,2,1,1,0,2,0
2543681,"CB","Kyle Fuller (CHI)",16,647,"CORNER",0.62,4.76,4.76,0,14,4,2,1,0,0,0
80668,"CB","Captain Munnerlyn (CAR)",16,425,"CORNER",0.48,4.75,4.75,0,9,3,0,0,2,0,0
2557927,"CB","Desmond King (LAC)",15,473,"CORNER",0.39,4.73,4.73,0,4,1,0,0,0,0,0
2540170,"CB","David Amerson (ARI)",6,150,"SLANT",0.53,4.73,0.86,3.87,8,2,1,1,0,0,0
2541200,"CB","Rashaan Melvin (OAK)",14,330,"HITCH",0.66,4.71,4.01,0.7,54,9,6,0,2,4,0
2560916,"CB","Denzel Ward (CLE)",13,500,"IN",0.56,4.69,4.2,0.49,45,5,3,0,1,2,0
2561107,"LB","Corey Thompson (BUF)",3,29,"OUT",0.18,4.67,0,4.67,1,0,0,0,0,1,1
2557887,"ILB","Haason Reddick (ARI)",16,444,"HITCH",0.27,4.61,2.98,1.63,42,4,1,0,2,2,0
2558009,"FS","Budda Baker (ARI)",14,491,"ANGLE",0.47,4.61,0,4.61,5,1,1,0,0,1,1
2560725,"S","Minkah Fitzpatrick (MIA)",16,507,"OUT",0.47,4.61,4.01,0.6,44,6,4,0,1,4,0
2556475,"CB","Briean Boddy-Calhoun (CLE)",14,426,"OUT",0.39,4.6,3.19,1.41,55,8,6,0,1,7,0
2559054,"ILB","Nicholas Morrow (OAK)",14,237,"FLAT",0.22,4.59,2.77,1.82,51,4,4,0,0,3,0
2557920,"CB","Jourdan Lewis (DAL)",13,136,"FLAT",0.39,4.56,1.54,3.02,18,3,3,0,0,3,0
2560741,"CB","Holton Hill (MIN)",12,172,"IN",0.67,4.55,4.55,0,11,2,1,1,0,1,0
2557969,"OLB","Matt Milano (BUF)",13,412,"ANGLE",0.25,4.54,-0.11,4.65,30,6,5,1,0,3.5,0
2556673,"OLB","Brennan Scarlett (HOU)",7,54,"OUT",0.16,4.53,0.09,4.44,6,1,0,1,0,0,0
2553822,"FS","Curtis Riley (NYG)",16,578,"POST",0.03,4.49,0,4.49,41,1,0,1,0,0,0
2555568,"SS","Erik Harris (OAK)",15,220,"IN",0.13,4.46,3.38,1.08,11,2,0,0,1,0,0
2553637,"CB","Justin Coleman (SEA)",15,444,"IN",0.44,4.45,2.61,1.84,52,6,3,0,3,3,1
2552385,"FS","Adrian Amos (CHI)",16,655,"FLAT",0.07,4.43,3.54,0.89,42,4,2,0,1,3,0
2555531,"CB","Anthony Brown (DAL)",15,437,"OUT",0.49,4.42,4.6,-0.17,45,6,5,0,1,3,1
2555530,"FS","Vonn Bell (NO)",16,499,"SLANT",0.24,4.42,2.35,2.08,17,1,0,0,0,0,0
2558136,"CB","Fabian Moreau (WAS)",16,528,"IN",0.52,4.41,3.57,0.84,61,3,1,0,1,0,0
2552262,"SS","Quandre Diggs (DET)",16,541,"OUT",0.15,4.41,4.06,0.35,24,7,5,1,1,6.5,0
2505708,"FS","Mike Adams (CAR)",16,553,"GO",0.16,4.37,0.9,3.47,53,5,3,1,0,3,0
2539290,"FS","Jordan Poyer (BUF)",16,546,"POST",0.09,4.37,4.61,-0.24,44,3,2,1,0,2,0
2557979,"SS","Jamal Adams (NYJ)",16,633,"FLAT",0.2,4.36,3.23,1.13,54,3,3,0,0,2.5,0
2555169,"ILB","Reggie Ragland (KC)",15,234,"CROSS",0.09,4.34,2.07,2.27,38,1,0,0,0,0,0
2560760,"SS","Derwin James (LAC)",15,568,"CORNER",0.28,4.33,0.01,4.32,20,3,1,1,1,0,0
2558061,"CB","Marshon Lattimore (NO)",16,569,"SLANT",0.63,4.32,0.1,4.22,33,6,5,0,1,4,1
2506352,"OLB","Thomas Davis (CAR)",12,366,"OUT",0.31,4.32,4.46,-0.14,41,9,7,0,2,4,0
494287,"FS","Devin McCourty (NE)",16,625,"FLAT",0.16,4.3,1.33,2.98,40,8,8,0,0,5.5,1
2539240,"SS","Micah Hyde (BUF)",15,479,"FLAT",0.09,4.27,3.67,0.61,16,2,0,0,2,0,0
2540164,"SS","Tony Jefferson (BAL)",14,531,"GO",0.16,4.27,2,2.27,66,1,1,0,0,1,0
2558851,"ILB","Anthony Walker (IND)",15,353,"HITCH",0.24,4.26,0.21,4.05,48,8,5,1,0,3,0
2533016,"OLB","Najee Goode (IND)",6,36,"GO",0.18,4.25,4.25,0,2,1,0,1,0,0,0
2533056,"MLB","Luke Kuechly (CAR)",16,546,"SCREEN",0.16,4.24,4.03,0.21,27,6,6,0,0,4,1
2506789,"CB","Tramon Williams (GB)",16,589,"OUT",0.32,4.2,4.24,-0.04,48,7,5,0,0,6,0
2557961,"CB","Quincy Wilson (IND)",13,282,"GO",0.56,4.19,5.91,-1.72,74,3,2,1,0,0,0
2560789,"LB","Darius Leonard (IND)",15,535,"HITCH",0.22,4.18,2.66,1.53,84,11,9,1,1,7.5,0
2557887,"ILB","Haason Reddick (ARI)",16,444,"FLAT",0.27,4.17,3.74,0.43,66,3,2,0,0,2,0
2559164,"CB","Michael Davis (LAC)",13,362,"HITCH",0.64,4.16,1.76,2.4,66,11,8,0,4,7,0
1302,"CB","Aqib Talib (LA)",8,217,"HITCH",0.45,4.13,4.99,-0.86,30,4,4,0,0,2.5,1
2557969,"OLB","Matt Milano (BUF)",13,412,"GO",0.25,4.08,3.37,0.71,31,2,0,1,0,0,0
2560946,"DB","Isaac Yiadom (DEN)",11,179,"OUT",0.71,4.08,4.15,-0.08,16,5,3,1,1,2,0
2558067,"CB","Marlon Humphrey (BAL)",14,469,"HITCH",0.64,4.07,2.71,1.36,59,11,3,0,4,1.5,0
2559208,"CB","Ryan Lewis (BUF)",5,102,"HITCH",0.58,4.07,1.54,2.52,24,6,4,0,1,3,0
2555162,"MLB","Deion Jones (ATL)",6,224,"OUT",0.21,4.01,0.14,3.87,10,1,1,0,0,1,1
2558062,"CB","Gareon Conley (OAK)",14,346,"GO",0.68,4.01,4.01,0,80,7,1,1,5,1,0
2553536,"CB","Troy Hill (LA)",12,235,"IN",0.52,4.01,3.95,0.06,22,4,1,1,2,0,0
2539338,"CB","B.W. Webb (NYG)",16,576,"FLAT",0.6,4,2.73,1.27,38,1,1,0,0,2,0
2530510,"CB","Chris Harris (DEN)",11,397,"GO",0.62,4,4,0,54,2,0,0,0,0,0
71251,"SS","Patrick Chung (NE)",15,561,"FLAT",0.46,3.99,2.83,1.17,49,5,5,0,1,5,0
2534830,"SS","Tavon Wilson (DET)",14,176,"IN",0.37,3.98,2.77,1.21,9,2,0,0,0,0,0
2539237,"CB","D.J. Hayden (JAX)",10,279,"CORNER",0.47,3.97,-0.47,4.44,21,2,0,1,0,0,0
2555280,"CB","Jalen Ramsey (JAX)",16,550,"OUT",0.66,3.94,4.07,-0.12,46,8,6,0,1,4,0
2555277,"CB","Eli Apple (NO/NYG)",15,552,"IN",0.6,3.94,3.78,0.16,48,9,5,0,2,4,0
2553655,"FS","Anthony Harris (MIN)",11,299,"GO",0.08,3.92,2.15,1.77,40,1,0,0,1,0,0
2550930,"ILB","Todd Davis (DEN)",15,426,"SCREEN",0.18,3.88,2,1.88,16,3,3,0,0,2,0
2558067,"CB","Marlon Humphrey (BAL)",14,469,"SLANT",0.64,3.87,2.58,1.29,33,7,4,0,0,2,0
2553637,"CB","Justin Coleman (SEA)",15,444,"FLAT",0.44,3.87,4.86,-0.99,67,12,11,1,0,8,0
2555175,"CB","James Bradberry (CAR)",16,578,"SLANT",0.58,3.85,3.72,0.13,43,13,8,0,4,7,0
2560766,"CB","Taron Johnson (BUF)",11,262,"SLANT",0.5,3.85,3.85,0,6,3,1,1,1,1,0
2495807,"FS","Antoine Bethea (ARI)",16,567,"CROSS",0.16,3.84,1.93,1.92,54,8,4,0,3,4,0
2495108,"CB","Prince Amukamara (CHI)",15,585,"HITCH",0.65,3.84,0.42,3.42,105,20,15,1,3,13,0
2557979,"SS","Jamal Adams (NYJ)",16,633,"GO",0.2,3.79,2.08,1.71,75,2,0,0,2,0,0
2557880,"ILB","Josh Harvey-Clemons (WAS)",14,163,"HITCH",0.19,3.79,-0.31,4.1,23,1,0,0,0,0,0
2552312,"MLB","Eric Kendricks (MIN)",13,442,"OUT",0.22,3.78,5.07,-1.29,34,10,6,1,2,4.5,0
496735,"CB","Kareem Jackson (HOU)",16,593,"POST",0.37,3.78,3.44,0.35,56,5,1,1,2,0,0
2539334,"CB","Desmond Trufant (ATL)",16,627,"IN",0.61,3.78,3.78,0,27,5,3,0,1,2,0
2541162,"CB","A.J. Bouye (JAX)",13,449,"FLAT",0.64,3.76,1.49,2.27,15,2,2,0,0,3,0
2532800,"OLB","Nigel Bradham (PHI)",15,591,"ANGLE",0.19,3.76,1.62,2.13,51,6,5,0,1,3,0
2540180,"FS","Tyrann Mathieu (HOU)",16,637,"FLAT",0.26,3.7,1.88,1.82,52,4,4,0,0,4.5,0
2561006,"FS","Marcell Harris (SF)",7,172,"FLAT",0.18,3.69,0.8,2.89,21,4,4,0,0,4.5,0
89756,"CB","Jason McCourty (NE)",16,534,"CORNER",0.59,3.68,3.68,0,22,2,1,1,0,1,0
2560877,"LB","Roquan Smith (CHI)",16,567,"FLAT",0.27,3.66,2.38,1.28,63,7,7,0,0,6.5,0
2535687,"SS","Michael Thomas (NYG)",16,317,"GO",0.28,3.66,2.54,1.12,32,2,0,0,1,0,0
2539290,"FS","Jordan Poyer (BUF)",16,546,"WHEEL",0.09,3.66,0.95,2.71,5,1,0,0,1,1,0
2532966,"MLB","Bobby Wagner (SEA)",14,525,"HITCH",0.19,3.65,1.28,2.38,81,10,6,0,4,5,0
2495281,"ILB","Mason Foster (WAS)",16,585,"HITCH",0.14,3.64,1.42,2.23,71,7,4,0,0,3,0
2560725,"S","Minkah Fitzpatrick (MIA)",16,507,"POST",0.47,3.64,3.64,0,19,1,0,1,0,0,0
2532875,"CB","Janoris Jenkins (NYG)",16,602,"FLAT",0.56,3.63,1.42,2.21,22,3,3,0,0,3.5,0
2534846,"CB","Neiko Thorpe (SEA)",3,23,"GO",0.67,3.63,1.95,1.68,7,0,0,0,0,0,0
2543814,"MLB","Preston Brown (CIN)",7,191,"HITCH",0.19,3.61,0.77,2.84,32,3,2,1,0,1.5,0
2550613,"CB","Malcolm Butler (TEN)",16,501,"OUT",0.63,3.55,2.27,1.28,33,11,9,0,2,7.5,1
2543637,"CB","Terrance Mitchell (CLE)",8,265,"GO",0.51,3.53,1.14,2.39,67,6,3,1,2,2,0
2558976,"CB","Kenny Moore II (IND)",15,514,"SCREEN",0.45,3.53,1.38,2.15,27,5,5,0,0,1.5,0
4365,"CB","Brandon Carr (BAL)",16,556,"SLANT",0.58,3.52,3.34,0.18,38,5,2,1,1,2.5,0
2555340,"OLB","Kyler Fackrell (GB)",16,344,"OUT",0.28,3.52,0.89,2.63,11,3,3,0,0,0,0
2558136,"CB","Fabian Moreau (WAS)",16,528,"OUT",0.52,3.52,1.59,1.93,61,11,9,0,2,7,1
2558183,"SS","John Johnson (LA)",16,564,"FLAT",0.14,3.52,1.32,2.2,20,2,2,0,0,4,0
2495872,"CB","Johnathan Joseph (HOU)",14,485,"IN",0.52,3.48,2.11,1.37,53,9,5,0,2,5,0
2558061,"CB","Marshon Lattimore (NO)",16,569,"IN",0.63,3.44,3.44,0,36,9,6,0,4,3.5,1
2555349,"CB","Kendall Fuller (KC)",14,622,"OUT",0.52,3.42,4.23,-0.81,73,8,6,0,1,5,0
2539237,"CB","D.J. Hayden (JAX)",10,279,"FLAT",0.47,3.41,2.02,1.39,41,5,5,0,0,4.5,0
2553822,"FS","Curtis Riley (NYG)",16,578,"GO",0.03,3.4,0.28,3.12,46,1,0,1,0,0,0
2552386,"FS","Clayton Geathers (IND)",12,407,"FLAT",0.12,3.38,1.12,2.26,36,2,2,0,0,3,0
2539311,"OLB","Jamie Collins (CLE)",16,599,"CROSS",0.21,3.37,0.23,3.13,44,5,4,1,0,3,0
2495343,"CB","Buster Skrine (NYJ)",14,401,"OUT",0.52,3.36,3.36,0,25,9,5,0,2,4,0
2532789,"ILB","Mark Barron (LA)",12,279,"FLAT",0.26,3.35,4.05,-0.69,40,4,2,0,1,1,0
2555173,"FS","Eric Murray (KC)",14,404,"CORNER",0.1,3.35,3.89,-0.54,11,1,0,1,0,0,0
2540197,"CB","Nickell Robey-Coleman (LA)",16,378,"FLAT",0.48,3.33,1.73,1.6,44,3,3,0,0,4.5,0
2557855,"MLB","Jarrad Davis (DET)",16,548,"OUT",0.11,3.32,3.11,0.21,51,9,7,0,2,5.5,0
2556593,"ILB","Cory Littleton (LA)",16,556,"HITCH",0.25,3.3,1.98,1.32,47,6,6,0,0,5.5,0
2506352,"OLB","Thomas Davis (CAR)",12,366,"FLAT",0.31,3.24,2.43,0.81,58,3,3,0,0,2.5,0
2556571,"CB","Jonathan Jones (NE)",16,353,"CROSS",0.48,3.22,1.41,1.81,45,12,8,0,0,6,0
2539240,"SS","Micah Hyde (BUF)",15,479,"GO",0.09,3.2,-0.18,3.38,45,1,0,1,0,0,0
2555522,"ILB","B.J. Goodson (NYG)",15,232,"OUT",0.19,3.19,3.08,0.11,16,2,1,0,0,0,0
2552689,"CB","Ronald Darby (PHI)",9,373,"SLANT",0.6,3.18,1.5,1.68,28,4,2,0,1,1,0
2553353,"CB","Darryl Roberts (NYJ)",14,432,"HITCH",0.33,3.16,1.96,1.21,45,1,1,0,0,1,0
2558175,"LB","Nate Gerry (PHI)",9,60,"CROSS",0.14,3.16,3.33,-0.17,16,1,0,1,0,0.5,0
2558183,"SS","John Johnson (LA)",16,564,"SLANT",0.14,3.15,2.56,0.59,20,2,1,0,1,2.5,0
2555386,"SS","Sean Davis (PIT)",15,589,"GO",0.02,3.15,1.28,1.86,67,1,0,0,1,0,0
2539338,"CB","B.W. Webb (NYG)",16,576,"HITCH",0.6,3.14,-1.4,4.54,87,11,9,0,1,9.5,1
2560795,"CB","Avonte Maddox (PHI)",10,371,"CROSS",0.31,3.13,-0.77,3.91,20,1,1,0,0,1,1
2540180,"FS","Tyrann Mathieu (HOU)",16,637,"SLANT",0.26,3.13,0.97,2.16,29,5,3,0,1,3,0
2558259,"CB","Shaquill Griffin (SEA)",15,532,"OUT",0.67,3.1,3.37,-0.27,46,10,6,0,3,4,0
2557927,"CB","Desmond King (LAC)",15,473,"SCREEN",0.39,3.09,2.74,0.35,31,6,6,0,0,3,0
2560766,"CB","Taron Johnson (BUF)",11,262,"FLAT",0.5,3.08,1.88,1.21,33,1,1,0,0,2.5,0
2532875,"CB","Janoris Jenkins (NYG)",16,602,"GO",0.56,3.07,4.02,-0.95,151,9,6,1,2,2,0
80668,"CB","Captain Munnerlyn (CAR)",16,425,"FLAT",0.48,3.06,0.83,2.23,35,4,3,0,1,2,0
2560753,"CB","Donte Jackson (CAR)",15,524,"WHEEL",0.55,3.05,3.05,0,1,1,0,0,1,0,0
2556445,"CB","Brian Poole (ATL)",16,531,"HITCH",0.41,3.05,0.41,2.64,87,5,4,1,0,4,0
2555280,"CB","Jalen Ramsey (JAX)",16,550,"POST",0.66,3.05,3.05,0,39,3,1,2,0,0,0
2539653,"CB","Robert Alford (ATL)",15,554,"CORNER",0.69,3.05,0.17,2.88,17,1,0,0,1,0,0
2552689,"CB","Ronald Darby (PHI)",9,373,"GO",0.6,3.04,3.04,0,63,7,3,0,2,0,0
2561132,"LB","Foye Oluokun (ATL)",16,273,"HITCH",0.27,3.04,3.04,0,14,6,5,0,0,2.5,0
2560908,"LB","Leighton Vander Esch (DAL)",16,455,"FLAT",0.23,3.03,1.23,1.8,62,6,6,0,0,5,0
80668,"CB","Captain Munnerlyn (CAR)",16,425,"CROSS",0.48,3.03,1.74,1.29,51,4,3,0,0,3.5,0
2533056,"MLB","Luke Kuechly (CAR)",16,546,"HITCH",0.16,3.02,1.59,1.43,76,10,8,0,1,6,0
2560763,"LB","Josey Jewell (DEN)",15,198,"FLAT",0.24,3,0.48,2.53,26,4,4,0,0,2,0
