"position","displayName","route","nflId_def","eps_man_coverage","routes","accurate_targets","completions_allowed","PB","INT","T","FF","eps_tracking","eps_closing","eps_ball_skills","eps_tackling","eps_man_coverage_no_tackling"
"OLB","Neville Hewitt","ANGLE",2553657,0.564327820889459,2,0,0,0,0,0,0,0.35786328572899,0.206464535160469,0,0,0.564327820889459
"OLB","De'Vondre Campbell","ANGLE",2555255,0.551759242340366,1,0,0,0,0,0,0,-0.252053936585666,0.803813178926032,0,0,0.551759242340366
"ILB","Deone Bucannon","ANGLE",2543769,0.551552134790865,1,0,0,0,0,0,0,-0.0870193188693636,0.638571453660228,0,0,0.551552134790865
"MLB","Luke Kuechly","ANGLE",2533056,0.526366989366573,1,0,0,0,0,0,0,-0.0214940905049287,0.547861079871502,0,0,0.526366989366573
"MLB","Preston Brown","ANGLE",2543814,0.441268632581282,1,0,0,0,0,0,0,0.0245432757397966,0.416725356841485,0,0,0.441268632581282
"MLB","Eric Kendricks","ANGLE",2552312,0.406765118648755,2,1,1,0,0,1,0,-0.146210488700357,0.197160723121838,-0.141146272358307,0.496961156585581,-0.090196037936826
"ILB","Jayon Brown","ANGLE",2558005,0.358015516967699,1,0,0,0,0,0,0,0.0555034830446529,0.302512033923046,0,0,0.358015516967699
"ILB","Todd Davis","ANGLE",2550930,0.355535917350483,1,0,0,0,0,0,0,0.0929615713708579,0.262574345979625,0,0,0.355535917350483
"LB","Tremaine Edmunds","ANGLE",2560713,0.32081291727288,1,0,0,0,0,0,0,0.0387139601012791,0.282098957171601,0,0,0.32081291727288
"ILB","Avery Williamson","ANGLE",2543597,0.311338499901269,2,0,0,0,0,0,0,0.0737660925807478,0.237572407320521,0,0,0.311338499901269
"FS","Corey Graham","ANGLE",2495613,0.307203562951264,1,0,0,0,0,0,0,0.114351320698598,0.192852242252666,0,0,0.307203562951264
"FS","Jermaine Whitehead","ANGLE",2552697,0.2736741722573,2,0,0,0,0,0,0,0.193982095938947,0.0796920763183532,0,0,0.2736741722573
"SS","Erik Harris","ANGLE",2555568,0.210932527269958,1,0,0,0,0,0,0,0.210932527269958,0,0,0,0.210932527269958
"FS","Andrew Adams","ANGLE",2556456,0.201092128009358,1,0,0,0,0,0,0,-0.0501619998739873,0.251254127883345,0,0,0.201092128009358
"MLB","Joe Schobert","ANGLE",2555166,0.19720156525875,3,0,0,0,0,0,0,-0.18704094917994,0.38424251443869,0,0,0.19720156525875
"ILB","Demario Davis","ANGLE",2533008,0.192170514503414,1,0,0,0,0,0,0,-0.176816890511457,0.368987405014871,0,0,0.192170514503414
"OLB","Bud Dupree","ANGLE",2552289,0.168526220027176,1,0,0,0,0,0,0,0.0350027237882889,0.133523496238887,0,0,0.168526220027176
"CB","Buster Skrine","ANGLE",2495343,0.160128689716543,1,0,0,0,0,0,0,0.0983085684683577,0.0618201212481854,0,0,0.160128689716543
"OLB","Barkevious Mingo","ANGLE",2540140,0.147291505517193,1,0,0,0,0,0,0,0.147291505517193,0,0,0,0.147291505517193
"MLB","Elandon Roberts","ANGLE",2556119,0.127665561734147,2,0,0,0,0,0,0,-0.0155532194966288,0.143218781230776,0,0,0.127665561734147
"ILB","Benardrick McKinney","ANGLE",2552490,0.0981997867379429,2,0,0,0,0,0,0,0.0981997867379429,0,0,0,0.0981997867379429
"LB","Jerome Baker","ANGLE",2560966,0.0889821297534593,4,0,0,0,0,0,0,0.102501551530039,-0.0135194217765797,0,0,0.0889821297534593
"ILB","Denzel Perryman","ANGLE",2552310,0.0872907107288015,1,0,0,0,0,0,0,-0.0233610407396255,0.110651751468427,0,0,0.0872907107288015
"LB","Josey Jewell","ANGLE",2560763,0.0767124852045859,2,0,0,0,0,0,0,0.155841137739475,-0.0791286525348891,0,0,0.0767124852045859
"SS","Jamal Adams","ANGLE",2557979,0.0753559253258551,2,0,0,0,0,0,0,0.0753559253258551,0,0,0,0.0753559253258551
"OLB","K.J. Wright","ANGLE",2495252,0.0578957113305238,1,0,0,0,0,0,0,0.0482918466275347,0.00960386470298907,0,0,0.0578957113305238
"LB","Reggie Gilbert","ANGLE",2556537,0.0504832942411038,1,0,0,0,0,0,0,0.0504832942411038,0,0,0,0.0504832942411038
"LB","Ja'Whaun Bentley","ANGLE",2561143,0.0473645690251291,1,0,0,0,0,0,0,0.0473645690251291,0,0,0,0.0473645690251291
"OLB","Reuben Foster","ANGLE",2557837,0.0456946244704721,2,0,0,0,0,0,0,0.0456946244704721,0,0,0,0.0456946244704721
"CB","Anthony Brown","ANGLE",2555531,0.0382916262614494,1,0,0,0,0,0,0,0.0382916262614494,0,0,0,0.0382916262614494
"CB","E.J. Gaines","ANGLE",2543823,0.0343344143228479,1,0,0,0,0,0,0,0.0343344143228479,0,0,0,0.0343344143228479
"MLB","Anthony Hitchens","ANGLE",2543592,0.014409426934658,4,1,1,0,0,1,0,0.353628486358364,0.121577207914026,-0.286870824745685,-0.173925442592047,0.188334869526705
"S","Terrell Edmunds","ANGLE",2560712,0.0125663119671625,1,0,0,0,0,0,0,0.0125663119671625,0,0,0,0.0125663119671625
"SS","Derrick Kindred","ANGLE",2555540,0.00717878030989579,1,0,0,0,0,0,0,0.00717878030989579,0,0,0,0.00717878030989579
"OLB","Leonard Floyd","ANGLE",2555285,-3.56434531020022e-05,2,0,0,0,0,0,0,-0.129830134537255,0.129794491084153,0,0,-3.56434531020022e-05
"ILB","Mason Foster","ANGLE",2495281,-0.00297622801776385,2,0,0,0,0,0,0,-0.00147150982404596,-0.00150471819371789,0,0,-0.00297622801776385
"LB","Shaun Dion Hamilton","ANGLE",2561003,-0.00362562577686899,1,0,0,0,0,0,0,-0.00362562577686899,0,0,0,-0.00362562577686899
"OLB","Malcolm Smith","ANGLE",2499278,-0.005589688948825,1,0,0,0,0,0,0,0.156955268089592,-0.162544957038417,0,0,-0.005589688948825
"OLB","Damien Wilson","ANGLE",2552686,-0.00583122607941253,1,0,0,0,0,0,0,-0.00583122607941253,0,0,0,-0.00583122607941253
"LB","Breeland Speaks","ANGLE",2560881,-0.00933458748783746,1,0,0,0,0,0,0,-0.00933458748783746,0,0,0,-0.00933458748783746
"SS","Justin Reid","ANGLE",2560851,-0.0204954118751179,1,0,0,0,0,0,0,-0.0204954118751179,0,0,0,-0.0204954118751179
"MLB","Jordan Hicks","ANGLE",2552315,-0.0246170791155551,3,0,0,0,0,0,0,-0.0246170791155551,0,0,0,-0.0246170791155551
"MLB","Mike Hull","ANGLE",2552317,-0.0391223083452952,1,0,0,0,0,0,0,-0.0391223083452952,0,0,0,-0.0391223083452952
"OLB","Christian Kirksey","ANGLE",2543720,-0.0718596996800144,1,0,0,0,0,0,0,-0.0718596996800144,0,0,0,-0.0718596996800144
"OLB","Lorenzo Alexander","ANGLE",2506268,-0.0913352912321622,2,0,0,0,0,0,0,-0.0913352912321622,0,0,0,-0.0913352912321622
"CB","Malcolm Butler","ANGLE",2550613,-0.0916812502834068,1,0,0,0,0,0,0,-0.0916812502834068,0,0,0,-0.0916812502834068
"OLB","Craig Robertson","ANGLE",2532431,-0.096658936244438,1,0,0,0,0,0,0,-0.096658936244438,0,0,0,-0.096658936244438
"OLB","Alex Anzalone","ANGLE",2558163,-0.106954030674015,1,0,0,0,0,0,0,-0.110228502146624,0.00327447147260906,0,0,-0.106954030674015
"SS","Rayshawn Jenkins","ANGLE",2558182,-0.10825416098303,1,0,0,0,0,0,0,-0.10825416098303,0,0,0,-0.10825416098303
"OLB","Matt Milano","ANGLE",2557969,-0.109096294619982,4,1,1,0,0,0,0,0.0916360283943777,0.0812384618034217,0.030356310698074,-0.312327095515855,0.203230800895873
"SS","Landon Collins","ANGLE",2552454,-0.12876050906832,1,1,0,0,0,0,0,0.0704038642532513,-0.312161929768093,0.112997556446522,0,-0.12876050906832
"LB","Alec Ogletree","ANGLE",2540143,-0.131103864766479,2,0,0,0,0,0,0,0.0565036520468527,-0.187607516813332,0,0,-0.131103864766479
"CB","Phillip Gaines","ANGLE",2543851,-0.155425748460543,1,0,0,0,0,0,0,-0.155425748460543,0,0,0,-0.155425748460543
"OLB","Mychal Kendricks","ANGLE",2532890,-0.165818374752793,1,0,0,0,0,0,0,-0.165818374752793,0,0,0,-0.165818374752793
"MLB","Marquel Lee","ANGLE",2557972,-0.179815558863073,1,0,0,0,0,0,0,-0.179815558863073,0,0,0,-0.179815558863073
"DB","Anthony Levine","ANGLE",2508004,-0.184626127018142,1,0,0,0,0,0,0,-0.184626127018142,0,0,0,-0.184626127018142
"FS","J.J. Wilcox","ANGLE",2540219,-0.210829746035964,1,0,0,0,0,0,0,-0.210829746035964,0,0,0,-0.210829746035964
"ILB","Bruce Carter","ANGLE",2495136,-0.22572459611141,1,0,0,0,0,0,0,-0.22572459611141,0,0,0,-0.22572459611141
"CB","Pierre Desir","ANGLE",2543811,-0.232955547573489,1,0,0,0,0,0,0,-0.232955547573489,0,0,0,-0.232955547573489
"ILB","Zach Brown","ANGLE",2532804,-0.255732082913677,1,0,0,0,0,0,0,0.0549224683243415,-0.310654551238019,0,0,-0.255732082913677
"OLB","Kyle Van Noy","ANGLE",2543699,-0.257139170765716,2,1,1,0,0,1,0,-0.107449756996282,0.0424921465427248,0.133615213954045,-0.325796774266204,0.0686576035004878
"OLB","Jamie Collins","ANGLE",2539311,-0.275811856259968,3,0,0,0,0,0,0,-0.113109469890219,-0.162702386369749,0,0,-0.275811856259968
"ILB","Vince Williams","ANGLE",2540221,-0.291994223823475,2,0,0,0,0,0,0,-0.616845779780133,0.324851555956658,0,0,-0.291994223823475
"CB","Josh Jackson","ANGLE",2560755,-0.29300714676969,1,0,0,0,0,0,0,-0.29300714676969,0,0,0,-0.29300714676969
"OLB","Kamu Grugier-Hill","ANGLE",2556363,-0.293347706336318,1,0,0,0,0,0,0,-0.246663458535456,-0.0466842478008623,0,0,-0.293347706336318
"OLB","Shaq Thompson","ANGLE",2552447,-0.316738594991988,1,0,0,0,0,0,0,-0.275445190417952,-0.0412934045740356,0,0,-0.316738594991988
"ILB","Sean Lee","ANGLE",496937,-0.328767361556549,2,1,1,0,0,1,0,0.0849418971741717,0,-0.958951681588522,0.545242422857801,-0.87400978441435
"CB","Desmond King","ANGLE",2557927,-0.349643854581627,1,0,0,0,0,0,0,0.0560803356712873,-0.405724190252914,0,0,-0.349643854581627
"OLB","Jatavis Brown","ANGLE",2556148,-0.376031232287831,2,0,0,0,0,0.5,0,-0.504278096376067,-0.0255913749565646,0,0.153838239044801,-0.529869471332632
"OLB","Jordan Evans","ANGLE",2558801,-0.403707192923879,2,1,1,0,0,0,0,-0.536559386725225,-0.0990818999496421,0.171147276736943,0.0607868170140448,-0.464494009937924
"SS","Malcolm Jenkins","ANGLE",79848,-0.428514070473648,2,1,1,0,0,1,0,-0.133725200046896,1.1029506636294,0.679328731011078,-2.07706826506723,1.64855419459358
"ILB","Zach Cunningham","ANGLE",2558094,-0.430336759177079,1,0,0,0,0,0,0,-0.363584976147982,-0.0667517830290968,0,0,-0.430336759177079
"SS","Marqui Christian","ANGLE",2556277,-0.46073617805603,1,0,0,0,0,0,0,-0.357809584660311,-0.102926593395719,0,0,-0.46073617805603
"CB","Javien Elliott","ANGLE",2556934,-0.54175185951009,1,0,0,0,0,0,0,-0.15937129712794,-0.38238056238215,0,0,-0.54175185951009
"SS","Derwin James","ANGLE",2560760,-0.54231767425918,1,1,1,0,0,0,0,-0.0417726985961863,-0.206595543828487,-0.251320198928447,-0.04262923290606,-0.49968844135312
"ILB","Patrick Onwuasor","ANGLE",2556642,-0.55707071153906,1,0,0,0,0,0,0,-0.345537042610513,-0.211533668928547,0,0,-0.55707071153906
"LB","Elijah Lee","ANGLE",2558121,-0.562239560941616,1,0,0,0,0,0,0,-0.0683097218925557,-0.49392983904906,0,0,-0.562239560941616
"SS","Ricardo Allen","ANGLE",2543850,-0.592207815530149,1,0,0,0,0,0,0,-0.587798012843513,-0.00440980268663578,0,0,-0.592207815530149
"LB","Leighton Vander Esch","ANGLE",2560908,-0.631752654004622,2,0,0,0,0,0,0,-0.0548223247187187,-0.576930329285903,0,0,-0.631752654004622
"OLB","Ray-Ray Armstrong","ANGLE",2541792,-0.699014575736607,1,0,0,0,0,0,0,0.0307303105772724,-0.729744886313879,0,0,-0.699014575736607
"OLB","Whitney Mercilus","ANGLE",2533049,-0.709443277122874,2,0,0,0,0,0,0,-0.709443277122874,0,0,0,-0.709443277122874
"SS","Adrian Phillips","ANGLE",2550842,-0.889099905063867,1,0,0,0,0,0,0,-0.558158303923737,-0.33094160114013,0,0,-0.889099905063867
"FS","Tyrann Mathieu","ANGLE",2540180,-0.944299501455855,1,0,0,0,0,0,0,-0.395868564637219,-0.548430936818636,0,0,-0.944299501455855
"OLB","Tahir Whitehead","ANGLE",2532986,-0.973107039659349,3,1,1,0,0,0,0,-0.349296568241518,-0.115495080341336,-0.508315391076495,0,-0.973107039659349
"ILB","Haason Reddick","ANGLE",2557887,-0.98484000377152,3,1,1,0,0,0,0,-1.09901842722347,0.0978637607031156,0.016314662748834,0,-0.98484000377152
"LB","Genard Avery","ANGLE",2560964,-1.01188757880946,2,1,1,0,0,1,0,0.0730051333075644,0,-1.10227311078145,0.017380398664423,-1.02926797747389
"ILB","Danny Trevathan","ANGLE",2532961,-1.01505393052619,6,0,0,0,0,0,0,-0.539818365120025,-0.475235565406163,0,0,-1.01505393052619
"LB","Darius Leonard","ANGLE",2560789,-1.0426719561848,3,1,1,0,0,0,0,-0.276433907408058,-0.257828990800883,0.939281002429547,-1.44769006040541,0.405018104220606
"OLB","Lavonte David","ANGLE",2532828,-2.13822855562245,3,1,1,0,0,0,0,-1.35183299511314,-0.213473329958018,-0.31905991888068,-0.253862311670609,-1.88436624395184
"CB","Kendall Fuller","CORNER",2555349,8.50815089503496,15,3,0,0,1,0,0,0.175316609742419,0.45068857863578,7.88214570665676,0,8.50815089503496
"CB","Kyle Fuller","CORNER",2543681,4.76278950582659,14,4,2,0,1,0,0,0.219559081233892,0,4.58897149689102,-0.045741072298324,4.80853057812491
"CB","Captain Munnerlyn","CORNER",80668,4.74588167025735,9,3,0,2,0,0,0,-0.713518962858004,0,5.45940063311535,0,4.74588167025735
"CB","Desmond King","CORNER",2557927,4.73216623374038,4,1,0,0,0,0,0,0.688368722680592,0,4.04379751105979,0,4.73216623374038
"FS","Eric Murray","CORNER",2555173,3.89024511307557,1,1,0,0,1,0,0,0.1027838631863,-0.543110513934199,4.33057176382347,0,3.89024511307557
"CB","Jason McCourty","CORNER",89756,3.67860184697801,22,2,1,0,1,1,0,1.22298528960259,0,2.45523896737685,0.000377589998574734,3.67822425697944
"CB","Malcolm Butler","CORNER",2550613,2.7354369179243,16,2,1,1,0,1,0,-0.825495628489281,0,0.935986965913162,2.62494558050042,0.110491337423881
"CB","Trevor Williams","CORNER",2556828,2.33489552483004,7,1,0,0,0,0,0,0.00932910471906187,0,2.32556642011098,0,2.33489552483004
"CB","Xavien Howard","CORNER",2555539,2.30312520669837,14,1,0,0,1,0,0,-0.00801501392261282,0,2.31114022062098,0,2.30312520669837
"CB","Jonathan Jones","CORNER",2556571,2.1098383090289,12,2,1,0,1,0,0,-1.30047826024557,0,3.41031656927447,0,2.1098383090289
"LB","Josey Jewell","CORNER",2560763,2.08546633511272,3,1,0,1,0,0,0,0.423174741547671,0.558553398940678,1.10373819462437,0,2.08546633511272
"CB","Morris Claiborne","CORNER",2533059,1.99686034988812,18,2,1,1,0,1,0,-1.60023116627298,0,3.74808973402186,-0.15099821786076,2.14785856774888
"CB","Marlon Humphrey","CORNER",2558067,1.92711061861132,12,2,1,1,0,1,0,-0.890105042699953,0.840057913940564,1.93871063920621,0.0384471081644964,1.88866351044682
"DB","J.C. Jackson","CORNER",2560754,1.92099230006168,3,1,0,1,0,0,0,-0.331619970609364,0,2.25261227067104,0,1.92099230006168
"CB","Joe Haden","CORNER",496733,1.69761182305327,12,3,0,2,0,0,0,-1.14116848732488,0,2.83878031037815,0,1.69761182305327
"CB","Rasul Douglas","CORNER",2558168,1.48628864538028,10,1,0,0,1,0,0,-1.29628104490844,0,2.78256969028872,0,1.48628864538028
"CB","Bashaud Breeland","CORNER",2543571,1.4314671887199,3,1,0,0,0,0,0,-0.104481346823486,0,1.53594853554339,0,1.4314671887199
"OLB","Kamu Grugier-Hill","CORNER",2556363,1.41620483821647,1,1,0,0,0,0,0,0.0907997531976979,0,1.32540508501877,0,1.41620483821647
"CB","Darryl Roberts","CORNER",2553353,1.27679454885032,6,1,0,1,0,0,0,-0.0309902385091661,0,1.30778478735949,0,1.27679454885032
"CB","Dre Kirkpatrick","CORNER",2533060,1.26640906933258,15,1,0,1,0,0,0,0.159593781466157,0,1.10681528786642,0,1.26640906933258
"DB","Justin Hardee","CORNER",2559181,1.1773402446608,1,1,0,0,1,0,0,0.0968574965093659,0,1.08048274815143,0,1.1773402446608
"CB","Nickell Robey-Coleman","CORNER",2540197,0.922362627728779,8,0,0,0,0,0,0,0.922362627728779,0,0,0,0.922362627728779
"CB","Mike Hilton","CORNER",2556559,0.890132403339623,3,1,0,1,0,0,0,0.149242348143707,0,0.740890055195916,0,0.890132403339623
"CB","William Jackson","CORNER",2556367,0.871537779774509,9,1,0,0,0,0,0,-0.576724555819491,0,1.448262335594,0,0.871537779774509
"CB","Marcus Peters","CORNER",2552488,0.837222754123985,11,1,0,0,0,0,0,-1.29791037627659,0.169418971955455,1.96571415844512,0,0.837222754123985
"CB","Leon Hall","CORNER",2495617,0.777363064098356,6,1,0,1,0,0,0,-0.745481747939224,0,1.52284481203758,0,0.777363064098356
"CB","DeShawn Shead","CORNER",2535609,0.691311429430157,8,0,0,0,0,0,0,0.691311429430157,0,0,0,0.691311429430157
"CB","Justin Coleman","CORNER",2553637,0.653710366861171,7,0,0,0,0,0,0,0.653710366861171,0,0,0,0.653710366861171
"SS","Malcolm Jenkins","CORNER",79848,0.60552704484826,6,1,0,1,0,0,0,-1.41898275946095,0,2.02450980430921,0,0.60552704484826
"FS","Jermaine Whitehead","CORNER",2552697,0.537122894195774,1,1,0,1,0,0,0,0.00955462810897364,0,0.5275682660868,0,0.537122894195774
"DB","Jordan Whitehead","CORNER",2560930,0.531017326427427,7,0,0,0,0,0,0,0.327933805493628,0.203083520933799,0,0,0.531017326427427
"CB","Steven Nelson","CORNER",2552265,0.529314016410517,12,1,0,1,0,0,0,-0.817859126918121,0.454755049494972,0.892418093833666,0,0.529314016410517
"SS","Eric Reid","CORNER",2540152,0.50309447849906,3,0,0,0,0,0,0,-0.295357828414684,0.798452306913744,0,0,0.50309447849906
"SS","Kentrell Brice","CORNER",2556480,0.499318520181116,1,0,0,0,0,0,0,0.138206796160567,0.361111724020549,0,0,0.499318520181116
"FS","Eric Weddle","CORNER",2495775,0.475605456514287,3,0,0,0,0,0,0,0.475605456514287,0,0,0,0.475605456514287
"MLB","Manti Te'o","CORNER",2539277,0.469727962454088,1,1,0,0,0,0,0,-0.250245283777068,0,0.719973246231156,0,0.469727962454088
"OLB","Shaquil Barrett","CORNER",2550541,0.462202032925589,2,2,1,1,0,0,0,0.204458286793729,0,-3.2649980334656,3.52274177959746,-3.06053974667187
"CB","Sam Shields","CORNER",1037374,0.435595482605279,6,0,0,0,0,0,0,0.435595482605279,0,0,0,0.435595482605279
"SS","Justin Simmons","CORNER",2555550,0.409210965641947,6,1,1,0,0,1,0,-0.429697284865459,1.75103318550826,-0.713366671065786,-0.198758263935068,0.607969229577015
"SS","Erik Harris","CORNER",2555568,0.408377781188305,1,0,0,0,0,0,0,0.264587660418275,0.14379012077003,0,0,0.408377781188305
"FS","Ha Ha Clinton-Dix","CORNER",2543470,0.394524857007526,3,0,0,0,0,0,0,0.394524857007526,0,0,0,0.394524857007526
"CB","Cre'von LeBlanc","CORNER",2556587,0.392692956975111,7,0,0,0,0,0,0,0.392692956975111,0,0,0,0.392692956975111
"CB","Orlando Scandrick","CORNER",2307,0.386014859430472,15,1,0,1,0,0,0,-0.815453890722238,0,1.20146875015271,0,0.386014859430472
"SS","Daniel Sorensen","CORNER",2550257,0.350715878314477,2,0,0,0,0,0,0,0.350715878314477,0,0,0,0.350715878314477
"ILB","Cory Littleton","CORNER",2556593,0.330918776238252,5,0,0,0,0,0,0,0.330918776238252,0,0,0,0.330918776238252
"FS","Corey Graham","CORNER",2495613,0.330911580815788,3,0,0,0,0,0,0,-0.782365179824352,1.11327676064014,0,0,0.330911580815788
"CB","Anthony Brown","CORNER",2555531,0.320348809349016,4,0,0,0,0,0,0,0.320348809349016,0,0,0,0.320348809349016
"CB","Patrick Robinson","CORNER",2508084,0.318296000438443,3,0,0,0,0,0,0,0.318296000438443,0,0,0,0.318296000438443
"FS","Tashaun Gipson","CORNER",2532848,0.316149459193604,3,0,0,0,0,0,0,0.316149459193604,0,0,0,0.316149459193604
"SS","T.J. McDonald","CORNER",2539309,0.31588495057198,5,1,0,0,0,0,0,-0.193286450200773,-0.0173864726972409,0.526557873469994,0,0.31588495057198
"FS","Antone Exum","CORNER",2543680,0.302843880101667,3,0,0,0,0,0,0,0.302843880101667,0,0,0,0.302843880101667
"CB","Stephon Gilmore","CORNER",2533062,0.298630723166134,11,1,1,0,0,0,0,-0.0439788098939962,1.12200441914815,-0.77975600229266,0.00036111620464041,0.298269606961494
"MLB","Jordan Hicks","CORNER",2552315,0.297450631323731,1,0,0,0,0,0,0,0.297450631323731,0,0,0,0.297450631323731
"CB","Jourdan Lewis","CORNER",2557920,0.293536038955116,5,0,0,0,0,0,0,0.293536038955116,0,0,0,0.293536038955116
"SS","Marqui Christian","CORNER",2556277,0.284473080290209,4,0,0,0,0,0,0,0.284473080290209,0,0,0,0.284473080290209
"CB","Jalen Mills","CORNER",2555383,0.25404904917925,11,1,0,1,0,0,0,-1.29371010380309,0,1.54775915298234,0,0.25404904917925
"SS","Morgan Burnett","CORNER",496727,0.238397051685688,2,0,0,0,0,0,0,0.238397051685688,0,0,0,0.238397051685688
"CB","Artie Burns","CORNER",2555344,0.23044931808021,3,0,0,0,0,0,0,0.23044931808021,0,0,0,0.23044931808021
"CB","Rashaan Melvin","CORNER",2541200,0.209816617618724,8,0,0,0,0,0,0,0.209816617618724,0,0,0,0.209816617618724
"SS","Jarrod Wilson","CORNER",2556711,0.203656383890546,3,0,0,0,0,0,0,0.543158974650899,-0.339502590760353,0,0,0.203656383890546
"FS","Jordan Lucas","CORNER",2555542,0.180533133765029,1,0,0,0,0,0,0,0.138186997875976,0.0423461358890532,0,0,0.180533133765029
"CB","Robert Alford","CORNER",2539653,0.172928401824457,12,0,0,0,0,0,0,-0.0221256357389957,0.195054037563453,0,0,0.172928401824457
"ILB","Haason Reddick","CORNER",2557887,0.171225000522261,2,0,0,0,0,0,0,0.171225000522261,0,0,0,0.171225000522261
"LB","Leighton Vander Esch","CORNER",2560908,0.171148465229361,1,0,0,0,0,0,0,0.171148465229361,0,0,0,0.171148465229361
"FS","Darian Stewart","CORNER",494307,0.168671594785384,2,0,0,0,0,0,0,0.141660040289167,0.0270115544962168,0,0,0.168671594785384
"OLB","De'Vondre Campbell","CORNER",2555255,0.167738929577026,2,0,0,0,0,0,0,0.167738929577026,0,0,0,0.167738929577026
"SS","Adrian Phillips","CORNER",2550842,0.159923118773686,1,0,0,0,0,0,0,0.159923118773686,0,0,0,0.159923118773686
"SS","Rafael Bush","CORNER",2507817,0.159554020331761,2,0,0,0,0,0,0,0.159554020331761,0,0,0,0.159554020331761
"CB","Nick Nelson","CORNER",2560819,0.15540220398795,1,0,0,0,0,0,0,0.15540220398795,0,0,0,0.15540220398795
"CB","Sherrick McManis","CORNER",494289,0.152957692373602,3,0,0,0,0,0,0,0.152957692373602,0,0,0,0.152957692373602
"CB","Ryan Lewis","CORNER",2559208,0.152698732425896,6,0,0,0,0,0,0,0.152698732425896,0,0,0,0.152698732425896
"CB","Chris Harris","CORNER",2530510,0.151627297518908,10,0,0,0,0,0,0,0.151627297518908,0,0,0,0.151627297518908
"ILB","Brandon Marshall","CORNER",2532898,0.143939850862512,2,0,0,0,0,0,0,0.143939850862512,0,0,0,0.143939850862512
"CB","Quinton Dunbar","CORNER",2553796,0.142893380232583,2,0,0,0,0,0,0,0.142893380232583,0,0,0,0.142893380232583
"SS","Bradley McDougald","CORNER",2539243,0.142633788727497,1,0,0,0,0,0,0,0.142633788727497,0,0,0,0.142633788727497
"SS","Deshazor Everett","CORNER",2553710,0.13941618636001,2,0,0,0,0,0,0,0.13941618636001,0,0,0,0.13941618636001
"FS","Montae Nicholson","CORNER",2558133,0.134802471246622,1,0,0,0,0,0,0,0.134802471246622,0,0,0,0.134802471246622
"FS","Andrew Adams","CORNER",2556456,0.129680655031118,2,0,0,0,0,0,0,0.129680655031118,0,0,0,0.129680655031118
"S","Brandon Wilson","CORNER",2558786,0.124209671322756,4,0,0,0,0,0,0,0.124209671322756,0,0,0,0.124209671322756
"ILB","Patrick Onwuasor","CORNER",2556642,0.1209849390199,1,0,0,0,0,0,0,0.1209849390199,0,0,0,0.1209849390199
"OLB","Kyle Van Noy","CORNER",2543699,0.120440772441148,1,0,0,0,0,0,0,0.120440772441148,0,0,0,0.120440772441148
"CB","Michael Davis","CORNER",2559164,0.120356943246723,15,0,0,0,0,0,0,0.120356943246723,0,0,0,0.120356943246723
"MLB","Deion Jones","CORNER",2555162,0.117015548912516,1,0,0,0,0,0,0,0.117015548912516,0,0,0,0.117015548912516
"DB","Rashaan Gaulden","CORNER",2560775,0.116774477818773,2,0,0,0,0,0,0,0.116774477818773,0,0,0,0.116774477818773
"ILB","Vince Williams","CORNER",2540221,0.113450273702562,2,0,0,0,0,0,0,0.113450273702562,0,0,0,0.113450273702562
