"position","displayName","nflId_def","route","tackling_opportunities","eps_tackling","eps_per_tackling_opportunity","perc_reduce_yac","FF","Tackles"
"ILB","Avery Williamson",2543597,"CORNER",1,-0.00104222655232622,-0.00104222655232622,0,0,1
"ILB","Avery Williamson",2543597,"CROSS",1,0.0567443743733764,0.0567443743733764,1,0,1
"ILB","Avery Williamson",2543597,"FLAT",2,-1.95339436870492,-0.976697184352458,0,0,2
"ILB","Avery Williamson",2543597,"OUT",2,0.0501064546166556,0.0250532273083278,0.5,0,1
"CB","Avonte Maddox",2560795,"IN",1,-0.0369675383787673,-0.0369675383787673,0,0,1
"CB","Avonte Maddox",2560795,"OUT",3,0.164212164929486,0.0547373883098288,1,0,2
"CB","Avonte Maddox",2560795,"POST",2,-0.196726440551682,-0.0983632202758408,0.5,0,2
"CB","Avonte Maddox",2560795,"SLANT",1,0.260660791466147,0.260660791466147,1,0,1
"ILB","B.J. Goodson",2555522,"CROSS",3,0.886358495747682,0.295452831915894,1,0,3
"ILB","B.J. Goodson",2555522,"FLAT",1,-0.408471217944201,-0.408471217944201,0,0,1
"ILB","B.J. Goodson",2555522,"HITCH",1,0.0046295303763367,0.0046295303763367,1,0,0.5
"ILB","B.J. Goodson",2555522,"OUT",1,-0.0548587325204255,-0.0548587325204255,0,0,0
"ILB","B.J. Goodson",2555522,"POST",1,-0.0898282490292709,-0.0898282490292709,0,0,0.5
"CB","B.W. Webb",2539338,"CORNER",1,-0.433621852817647,-0.433621852817647,0,0,0
"CB","B.W. Webb",2539338,"CROSS",2,-0.045741994357853,-0.0228709971789265,0.5,0,1
"CB","B.W. Webb",2539338,"GO",1,-0.191381123266214,-0.191381123266214,0,0,1
"CB","B.W. Webb",2539338,"HITCH",4,0.112498407334472,0.0281246018336179,1,0,3.5
"CB","B.W. Webb",2539338,"IN",1,-0.0789826278287401,-0.0789826278287401,0,0,1
"CB","B.W. Webb",2539338,"OUT",2,0.204862094300661,0.102431047150331,1,0,2
"CB","B.W. Webb",2539338,"POST",1,0.261993895016471,0.261993895016471,1,0,0
"CB","B.W. Webb",2539338,"SLANT",2,-1.03114239923707,-0.515571199618533,0,0,2
"CB","B.W. Webb",2539338,"undefined",1,-0.0929178145590632,-0.0929178145590632,0,0,1
"OLB","Barkevious Mingo",2540140,"CROSS",1,0.00125446497020498,0.00125446497020498,1,0,1
"OLB","Barkevious Mingo",2540140,"HITCH",1,-0.137173046913764,-0.137173046913764,0,0,0
"OLB","Barkevious Mingo",2540140,"IN",1,-0.794485156522643,-0.794485156522643,0,0,0
"OLB","Barkevious Mingo",2540140,"OUT",1,0.0366843242641751,0.0366843242641751,1,0,1
"SS","Barry Church",494259,"OUT",2,0.21353275444728,0.10676637722364,1,0,2
"SS","Barry Church",494259,"POST",1,0.021183306116014,0.021183306116014,1,0,1
"SS","Barry Church",494259,"SLANT",1,-1.93178570571061,-1.93178570571061,0,0,0.5
"CB","Bashaud Breeland",2543571,"CROSS",1,-0.0844106260355235,-0.0844106260355235,0,0,0
"CB","Bashaud Breeland",2543571,"GO",1,-0.0259795623111458,-0.0259795623111458,0,0,0.5
"CB","Bashaud Breeland",2543571,"OUT",1,-0.0695181855503089,-0.0695181855503089,0,0,0
"CB","Bashaud Breeland",2543571,"SLANT",3,0.00692887916947998,0.00230962638982666,0.666666666666667,0,3
"LB","Ben Niemann",2561383,"CROSS",1,0.741679191225285,0.741679191225285,1,0,1
"LB","Ben Niemann",2561383,"WHEEL",1,-0.0154126661345289,-0.0154126661345289,0,0,1
"ILB","Benardrick McKinney",2552490,"CROSS",1,0.0312584115268622,0.0312584115268622,1,0,0
"ILB","Benardrick McKinney",2552490,"FLAT",1,0.393895006280358,0.393895006280358,1,0,1
"ILB","Benardrick McKinney",2552490,"HITCH",1,0.0213783835460228,0.0213783835460228,1,0,1
"ILB","Benardrick McKinney",2552490,"OUT",1,-0.0670227952044583,-0.0670227952044583,0,0,0
"CB","Bene' Benwikere",2543855,"CROSS",1,-0.289010128361499,-0.289010128361499,0,0,1
"CB","Bene' Benwikere",2543855,"FLAT",1,-0.0347089008604087,-0.0347089008604087,0,0,1
"CB","Bene' Benwikere",2543855,"GO",1,-0.03445160184062,-0.03445160184062,0,0,1
"CB","Bene' Benwikere",2543855,"HITCH",2,0.151235597374066,0.0756177986870332,0.5,0,1.5
"CB","Bene' Benwikere",2543855,"OUT",2,0.00480192239688448,0.00240096119844224,1,0,1
"CB","Bene' Benwikere",2543855,"SLANT",4,0.209408250260445,0.0523520625651112,0.75,0,3
"SS","Blake Countess",2556374,"HITCH",1,-0.14247541532475,-0.14247541532475,0,0,0
"ILB","Blake Martinez",2555161,"HITCH",1,-0.060035383717262,-0.060035383717262,0,0,1
"CB","Blidi Wreh-Wilson",2539219,"CROSS",1,-0.0606143187183707,-0.0606143187183707,0,0,1
"CB","Bobby McCain",2552434,"CROSS",1,0.312119838659079,0.312119838659079,1,0,0
"CB","Bobby McCain",2552434,"FLAT",2,0.035133401042561,0.0175667005212805,0.5,0,2
"CB","Bobby McCain",2552434,"GO",1,-0.660740670563382,-0.660740670563382,0,0,0
"CB","Bobby McCain",2552434,"HITCH",2,0.067620317659926,0.033810158829963,0.5,0,0
"CB","Bobby McCain",2552434,"IN",2,0.609101410105094,0.304550705052547,1,0,2
"CB","Bobby McCain",2552434,"OUT",5,0.856921298970439,0.171384259794088,1,0,4
"CB","Bobby McCain",2552434,"POST",2,0.00141447771085901,0.000707238855429504,0.5,0,1
"CB","Bobby McCain",2552434,"SLANT",3,-2.84722562672767,-0.949075208909222,0.333333333333333,0,1
"MLB","Bobby Wagner",2532966,"CORNER",1,-0.0952221578517913,-0.0952221578517913,0,0,0.5
"MLB","Bobby Wagner",2532966,"CROSS",1,0.0617263888886552,0.0617263888886552,1,0,1
"MLB","Bobby Wagner",2532966,"HITCH",2,-0.0327941323608624,-0.0163970661804312,0,0,1
"MLB","Bobby Wagner",2532966,"OUT",1,-0.221622082758116,-0.221622082758116,0,0,1
"MLB","Bobby Wagner",2532966,"SLANT",1,-0.0676348671573077,-0.0676348671573077,0,0,1
"SS","Bradley McDougald",2539243,"ANGLE",1,0.409344306588727,0.409344306588727,1,0,0
"SS","Bradley McDougald",2539243,"FLAT",1,0.314995224216488,0.314995224216488,1,0,1
"SS","Bradley McDougald",2539243,"GO",1,-1.38333453384531,-1.38333453384531,0,0,0
"SS","Bradley McDougald",2539243,"IN",2,0.0616494997114707,0.0308247498557353,1,0,2
"SS","Bradley McDougald",2539243,"OUT",3,-0.365469586868537,-0.121823195622846,0.666666666666667,0,2
"CB","Bradley Roby",2543505,"CROSS",3,0.605335225097118,0.201778408365706,0.666666666666667,0,1
"CB","Bradley Roby",2543505,"GO",3,-6.25020773793745,-2.08340257931248,0.333333333333333,0,1
"CB","Bradley Roby",2543505,"HITCH",1,0.0109994826165999,0.0109994826165999,1,0,0
"CB","Bradley Roby",2543505,"IN",1,0.511306399744362,0.511306399744362,1,0,0
"CB","Bradley Roby",2543505,"OUT",10,0.717551135908736,0.0717551135908736,1,1,7
"CB","Bradley Roby",2543505,"POST",3,-1.87038862291677,-0.62346287430559,0,0,1
"CB","Bradley Roby",2543505,"SLANT",3,-0.677364697951605,-0.225788232650535,0.333333333333333,0,2
"CB","Brandon Carr",4365,"GO",1,0.418294540231416,0.418294540231416,1,0,1
"CB","Brandon Carr",4365,"HITCH",5,-0.683735238640594,-0.136747047728119,0.4,0,4
"CB","Brandon Carr",4365,"IN",3,-0.457978751974001,-0.152659583991334,0.666666666666667,0,2
"CB","Brandon Carr",4365,"OUT",3,0.198876540845337,0.0662921802817791,1,0,3
"CB","Brandon Carr",4365,"POST",1,-0.00292239628053714,-0.00292239628053714,0,0,1
"CB","Brandon Carr",4365,"SLANT",1,0.188548782094894,0.188548782094894,1,0,1
"ILB","Brandon Marshall",2532898,"OUT",1,0.000178670795094121,0.000178670795094121,1,0,0
"CB","Brandon Williams",2556371,"CROSS",1,-0.15516117703127,-0.15516117703127,0,0,0
"CB","Brandon Williams",2556371,"OUT",1,0.00628591482583321,0.00628591482583321,1,0,1
"S","Brandon Wilson",2558786,"GO",1,0.106855272912085,0.106855272912085,1,0,0
"OLB","Brennan Scarlett",2556673,"CROSS",1,0.713814838441991,0.713814838441991,1,0,0.5
"CB","Brent Grimes",2506861,"CORNER",1,1.24063329215681,1.24063329215681,1,0,1
"CB","Brent Grimes",2506861,"CROSS",3,0.223476436273431,0.074492145424477,0.666666666666667,0,2
"CB","Brent Grimes",2506861,"FLAT",1,0.700853039310115,0.700853039310115,1,0,0.5
"CB","Brent Grimes",2506861,"GO",1,0.112671421836026,0.112671421836026,1,0,0
"CB","Brent Grimes",2506861,"HITCH",2,-0.209575227844794,-0.104787613922397,0,0,1
"CB","Brent Grimes",2506861,"IN",2,-0.153370305835882,-0.076685152917941,0.5,0,1.5
"CB","Brent Grimes",2506861,"OUT",3,0.108508876130857,0.0361696253769522,1,0,3
"CB","Brent Grimes",2506861,"POST",5,0.225062854755466,0.0450125709510932,0.8,0,2.5
"CB","Brent Grimes",2506861,"SLANT",2,0.0220355131620179,0.0110177565810089,0.5,0,2
"ILB","Brian Peters",2552730,"OUT",1,0.829170248491376,0.829170248491376,1,0,0
"CB","Brian Poole",2556445,"CORNER",1,0.338681132281702,0.338681132281702,1,0,0
"CB","Brian Poole",2556445,"CROSS",7,-2.22121391217782,-0.31731627316826,0.285714285714286,0,4
"CB","Brian Poole",2556445,"HITCH",1,-0.0250413024273395,-0.0250413024273395,0,0,1
"CB","Brian Poole",2556445,"IN",1,-0.0194209441505644,-0.0194209441505644,0,0,1
"CB","Brian Poole",2556445,"OUT",5,0.147986438120279,0.0295972876240557,0.6,0,4
"CB","Brian Poole",2556445,"POST",2,0.566163232270935,0.283081616135468,1,0,2
"CB","Brian Poole",2556445,"SLANT",3,0.153972391475386,0.0513241304917954,0.666666666666667,0,3
"CB","Briean Boddy-Calhoun",2556475,"CROSS",2,-0.0956258048266224,-0.0478129024133112,0.5,0,1
"CB","Briean Boddy-Calhoun",2556475,"FLAT",2,0.030605203096526,0.015302601548263,0.5,0,2
"CB","Briean Boddy-Calhoun",2556475,"GO",1,0.249851276854228,0.249851276854228,1,0,0
"CB","Briean Boddy-Calhoun",2556475,"HITCH",1,0.253550618542013,0.253550618542013,1,0,1
"CB","Briean Boddy-Calhoun",2556475,"OUT",5,1.43634332867327,0.287268665734653,0.4,0,5
"CB","Briean Boddy-Calhoun",2556475,"SLANT",1,2.12101575338154,2.12101575338154,1,0,0.5
"ILB","Bruce Carter",2495136,"CROSS",1,0.0927873553549619,0.0927873553549619,1,0,1
"ILB","Bruce Carter",2495136,"SLANT",1,-0.981167643124545,-0.981167643124545,0,0,1
"CB","Bryce Callahan",2553500,"CROSS",2,-0.270774515312871,-0.135387257656436,0,0,1
"CB","Bryce Callahan",2553500,"FLAT",3,0.560749155158897,0.186916385052966,1,0,3
"CB","Bryce Callahan",2553500,"HITCH",1,-0.10978271880416,-0.10978271880416,0,0,1
"CB","Bryce Callahan",2553500,"IN",1,0.0847387164494677,0.0847387164494677,1,0,0
"CB","Bryce Callahan",2553500,"OUT",8,-0.430395180079164,-0.0537993975098954,0.625,0,6
"CB","Bryce Callahan",2553500,"POST",1,-0.152307276233656,-0.152307276233656,0,0,1
"OLB","Bud Dupree",2552289,"HITCH",1,-0.0523704844181473,-0.0523704844181473,0,0,0.5
"OLB","Bud Dupree",2552289,"OUT",1,0.0216336900527041,0.0216336900527041,1,0,1
"FS","Budda Baker",2558009,"CROSS",2,-0.682879501568482,-0.341439750784241,0,0,2
"FS","Budda Baker",2558009,"FLAT",2,-2.70832727260215,-1.35416363630108,0,0,1
"FS","Budda Baker",2558009,"HITCH",1,0.0443045692702424,0.0443045692702424,1,0,1
"FS","Budda Baker",2558009,"IN",1,0.0217565940351434,0.0217565940351434,1,0,1
"FS","Budda Baker",2558009,"OUT",3,-0.761234146675583,-0.253744715558528,0.333333333333333,0,3
"FS","Budda Baker",2558009,"POST",2,0.197669701188113,0.0988348505940567,0.5,0,0
"FS","Budda Baker",2558009,"SCREEN",1,-0.504007093386871,-0.504007093386871,0,0,0
"FS","Budda Baker",2558009,"SLANT",1,0.312036111974107,0.312036111974107,1,0,1
"CB","Buster Skrine",2495343,"CROSS",7,4.75966282444938,0.679951832064197,0.857142857142857,1,6.5
"CB","Buster Skrine",2495343,"FLAT",1,0.356347129572445,0.356347129572445,1,0,1
"CB","Buster Skrine",2495343,"GO",1,0.101235867902465,0.101235867902465,1,0,0
"CB","Buster Skrine",2495343,"HITCH",1,-0.124702134751081,-0.124702134751081,0,0,1
"CB","Buster Skrine",2495343,"IN",2,-3.50255671085024,-1.75127835542512,0,0,1
"CB","Buster Skrine",2495343,"OUT",5,0.304655402894354,0.0609310805788707,0.8,0,4
"CB","Buster Skrine",2495343,"POST",1,0.297222002953614,0.297222002953614,1,0,1
"CB","Buster Skrine",2495343,"SLANT",1,0.0196087997524028,0.0196087997524028,1,0,1
"CB","Byron Jones",2552568,"FLAT",1,0.0728353724741274,0.0728353724741274,1,0,0.5
"CB","Byron Jones",2552568,"GO",4,2.08338642107548,0.52084660526887,1,0,3
"CB","Byron Jones",2552568,"HITCH",5,-0.0224278727792875,-0.0044855745558575,0.6,0,5
"CB","Byron Jones",2552568,"IN",5,0.750399212781638,0.150079842556328,1,0,2
"CB","Byron Jones",2552568,"OUT",8,-0.655864281287154,-0.0819830351608942,0.875,0,6
"CB","Byron Jones",2552568,"SCREEN",1,-0.764394310313218,-0.764394310313218,0,0,0
"CB","Byron Jones",2552568,"SLANT",3,-0.205782888848227,-0.0685942962827424,0.333333333333333,0,2
"CB","C.J. Goodwin",2550767,"OUT",1,-0.529936098388692,-0.529936098388692,0,0,0
"ILB","C.J. Mosley",2543464,"CROSS",2,-0.669313396164065,-0.334656698082033,0,0,1
"ILB","C.J. Mosley",2543464,"FLAT",1,0.101432180764692,0.101432180764692,1,0,1
"ILB","C.J. Mosley",2543464,"HITCH",1,-0.414991394700735,-0.414991394700735,0,0,0.5
"ILB","C.J. Mosley",2543464,"IN",1,-5.30186242789647,-5.30186242789647,0,0,0
"ILB","C.J. Mosley",2543464,"OUT",3,-0.591474929697057,-0.197158309899019,0.333333333333333,0,2
"ILB","C.J. Mosley",2543464,"POST",1,0.171622524129839,0.171622524129839,1,0,1
"CB","Cameron Sutton",2558849,"CROSS",2,0.120554894898566,0.0602774474492831,0.5,0,2
"CB","Cameron Sutton",2558849,"GO",1,0.776886022869363,0.776886022869363,1,0,1
"CB","Cameron Sutton",2558849,"HITCH",2,0.319869227866272,0.159934613933136,1,0,1
"CB","Cameron Sutton",2558849,"IN",1,0.00450271627786725,0.00450271627786725,1,0,1
"CB","Cameron Sutton",2558849,"OUT",4,0.0579212394869819,0.0144803098717455,1,0,4
"CB","Cameron Sutton",2558849,"POST",1,0.0207032850264814,0.0207032850264814,1,0,1
"CB","Cameron Sutton",2558849,"SLANT",1,0.014505508204823,0.014505508204823,1,0,1
"CB","Captain Munnerlyn",80668,"CROSS",3,1.27998207477493,0.426660691591642,1,0,3
"CB","Captain Munnerlyn",80668,"FLAT",1,0.175607064814267,0.175607064814267,1,0,1
"CB","Captain Munnerlyn",80668,"GO",1,0.190517478254251,0.190517478254251,1,0,1
"CB","Captain Munnerlyn",80668,"HITCH",4,-0.576156819431531,-0.144039204857883,0.25,0,4
"CB","Captain Munnerlyn",80668,"IN",1,0.10719909911262,0.10719909911262,1,0,1
"CB","Captain Munnerlyn",80668,"OUT",7,-0.676762692964617,-0.096680384709231,0.428571428571429,0,6
"CB","Captain Munnerlyn",80668,"POST",1,0.0279858489647868,0.0279858489647868,1,0,1
"CB","Captain Munnerlyn",80668,"SLANT",3,0.610762768787378,0.203587589595793,0.666666666666667,0,1
"CB","Carlton Davis",2561039,"CROSS",1,0.0675234430394666,0.0675234430394666,1,0,1
"CB","Carlton Davis",2561039,"HITCH",1,-0.408960962436474,-0.408960962436474,0,0,1
"CB","Carlton Davis",2561039,"IN",3,0.489888438702819,0.163296146234273,1,0,2
"CB","Carlton Davis",2561039,"OUT",6,-0.297380530829165,-0.0495634218048609,0.666666666666667,0,5
"CB","Carlton Davis",2561039,"SLANT",1,-2.37803895162331,-2.37803895162331,0,0,0
"CB","Casey Hayward",2532861,"CROSS",1,-0.443165954357169,-0.443165954357169,0,0,1
"CB","Casey Hayward",2532861,"GO",3,-0.495406168085318,-0.165135389361773,0,0,3
"CB","Casey Hayward",2532861,"HITCH",3,0.304911960393488,0.101637320131163,1,0,3
"CB","Casey Hayward",2532861,"IN",4,0.411846113478345,0.102961528369586,0.5,0,0.5
"CB","Casey Hayward",2532861,"OUT",3,-0.18300964177384,-0.0610032139246135,0.333333333333333,0,1
"CB","Casey Hayward",2532861,"POST",1,0.834592727827177,0.834592727827177,1,0,1
"CB","Casey Hayward",2532861,"SLANT",2,-0.0574167899437345,-0.0287083949718673,0.5,0,2
"CB","Chandon Sullivan",2560887,"CROSS",1,0.000103746591567422,0.000103746591567422,1,0,0
"CB","Chandon Sullivan",2560887,"GO",3,-0.136030277377443,-0.0453434257924812,0.333333333333333,0,3
"CB","Charvarius Ward",2561417,"FLAT",1,0.158691003888315,0.158691003888315,1,0,1
"CB","Charvarius Ward",2561417,"HITCH",1,0.00953828901416442,0.00953828901416442,1,0,1
"CB","Charvarius Ward",2561417,"OUT",2,-1.74873282806252,-0.874366414031258,0.5,0,2
"CB","Charvarius Ward",2561417,"POST",1,-0.0115186899116269,-0.0115186899116269,0,0,1
"CB","Chidobe Awuzie",2557840,"CROSS",2,0.557758758648639,0.278879379324319,1,0,1.5
"CB","Chidobe Awuzie",2557840,"GO",5,0.805949651515047,0.161189930303009,0.8,0,4
"CB","Chidobe Awuzie",2557840,"HITCH",4,-0.0257950737848318,-0.00644876844620794,0.75,0,3
"CB","Chidobe Awuzie",2557840,"IN",4,0.334961673907644,0.083740418476911,0.75,0,3
"CB","Chidobe Awuzie",2557840,"OUT",6,0.173198130975094,0.0288663551625157,0.666666666666667,0,5
"CB","Chidobe Awuzie",2557840,"POST",1,-0.053259271631569,-0.053259271631569,0,0,1
"CB","Chidobe Awuzie",2557840,"SLANT",5,0.60999885031534,0.121999770063068,0.6,0,2
"SS","Chris Conte",2495272,"CROSS",1,0.00122239186759232,0.00122239186759232,1,0,1
"CB","Chris Harris",2530510,"CROSS",3,-0.62267555417066,-0.207558518056887,0.333333333333333,0,2
"CB","Chris Harris",2530510,"FLAT",2,-0.0162381624427572,-0.0081190812213786,0.5,0,2
"CB","Chris Harris",2530510,"HITCH",2,0.154220810711212,0.0771104053556061,1,0,2
"CB","Chris Harris",2530510,"IN",2,-0.254998930267421,-0.12749946513371,0,0,2
"CB","Chris Harris",2530510,"OUT",8,0.171468929990831,0.0214336162488539,0.625,0,7
"CB","Chris Harris",2530510,"POST",2,-0.164166425992683,-0.0820832129963415,0.5,0,0
"CB","Chris Harris",2530510,"SLANT",3,1.59591235157338,0.531970783857792,1,0,2.5
"ILB","Christian Jones",2550572,"FLAT",3,0.246500375924215,0.0821667919747382,1,0,3
"ILB","Christian Jones",2550572,"HITCH",1,-0.0035055011381559,-0.0035055011381559,0,0,1
